## This is from the official XRT page
## GRB | RA | Dec | Err90 | #breaks | lc type | NH_gal | Redshift 
GRB 190613A | 182.52957 | 67.23532 | 1.7 | 1 | TBD | 1.49&times;10<sup>-2</sup> | N/A 
GRB 190611A | 324.72274 | -56.07433 | 1.8 | 0 | TBD | 3.25&times;10<sup>-2</sup> | N/A 
GRB 190604B | 297.5408 | -32.97824 | 1.4 | 2 | TBD | 0.14 | N/A 
GRB 190531B | 24.29631 | -41.9583 | 1.6 | 0 | TBD | 1.76&times;10<sup>-2</sup> | N/A 
GRB 190530A | 120.53246 | 35.47939 | 1.4 | 0 | TBD | 5.07&times;10<sup>-2</sup> | N/A 
GRB 190519A | 114.76769 | -38.80544 | 1.9 | 3 | TBD | 0.43 | N/A 
GRB 190515B | 98.84838 | 52.31721 | 1.7 | 1 | TBD | 0.13 | N/A 
GRB 190511A | 126.44422 | -20.25944 | 1.9 | 2 | TBD | 0.11 | N/A 
GRB 190422A | 182.03517 | -60.22435 | 1.4 | 1 | TBD | 0.86 | N/A 
GRB 190404C | 220.84263 | -22.66381 | 3.7 | 0 | TBD | 8.89&times;10<sup>-2</sup> | N/A 
GRB 190324A | 49.61589 | -47.21477 | 1.4 | 2 | TBD | 1.75&times;10<sup>-2</sup> | N/A 
GRB 190320A | 117.84859 | -45.88774 | 1.7 | 0 | TBD | 0.31 | N/A 
GRB 190311A | 212.06546 | 53.5004 | 1.5 | 2 | TBD | 1.17&times;10<sup>-2</sup> | N/A 
GRB 190305A | 11.62661 | -50.34865 | 2.8 | 0 | TBD | 2.30&times;10<sup>-2</sup> | N/A 
GRB 190220A | 330.16329 | -76.68115 | 1.6 | 1 | TBD | 0.11 | N/A 
GRB 190219A | 189.62694 | 76.61251 | 1.7 | 3 | TBD | 3.55&times;10<sup>-2</sup> | N/A 
GRB 190211A | 196.6594538725 | 41.9673565764 | 3.5 | 1 | TBD | 1.72&times;10<sup>-2</sup> | N/A 
GRB 190204A | 351.47786 | 54.87641 | 1.4 | 5 | TBD | 0.44 | N/A 
GRB 190203A | 22.59677 | 55.72242 | 1.4 | 3 | TBD | 0.40 | N/A 
GRB 190202A | 166.50242 | 9.37685 | 1.4 | 1 | TBD | 2.40&times;10<sup>-2</sup> | N/A 
GRB 190129B | 117.46142 | 0.93476 | 2.3 | 0 | TBD | 7.31&times;10<sup>-2</sup> | N/A 
GRB 190123A | 53.22062 | 45.52521 | 1.9 | 0 | TBD | 0.44 | N/A 
GRB 190114C | 54.50492 | -26.9461 | 1.4 | 5 | TBD | 7.54&times;10<sup>-3</sup> | 0.42 
GRB 190114B | 174.874098713 | 18.892126562 | 3.7 | 0 | TBD | 1.75&times;10<sup>-2</sup> | N/A 
GRB 190114A | 65.54393 | 2.19142 | 1.4 | 3 | TBD | 0.16 | 3.3765 
GRB 190109B | 55.48759 | 63.592 | 1.6 | 0 | TBD | 0.46 | N/A 
GRB 190109A | 33.20238 | 38.10829 | 1.5 | 1 | TBD | 5.11&times;10<sup>-2</sup> | N/A 
GRB 190106A | 29.88006 | 23.84543 | 1.4 | 3 | TBD | 0.10 | 1.86 
GRB 190103B | 212.56942 | 35.26095 | 1.4 | 5 | TBD | 1.35&times;10<sup>-2</sup> | N/A 
GRB 181228A | 49.81193 | 13.2021 | 1.4 | 1 | TBD | 0.29 | N/A 
GRB 181213A | 248.27057 | 78.49695 | 1.7 | 0 | TBD | 4.49&times;10<sup>-2</sup> | N/A 
GRB 181203A | 108.34841 | -39.80184 | 1.9 | 0 | TBD | 0.23 | N/A 
GRB 181202A | 280.73501 | 27.95967 | 1.6 | 2 | TBD | 0.17 | N/A 
GRB 181201A | 319.29671 | -12.63081 | 1.4 | 1 | TBD | 5.20&times;10<sup>-2</sup> | 0.45 
GRB 181126A | 152.34888 | -29.68673 | 2.5 | 0 | TBD | 8.09&times;10<sup>-2</sup> | N/A 
GRB 181123B | 184.36685 | 14.59789 | 1.8 | 0 | TBD | 3.08&times;10<sup>-2</sup> | N/A 
GRB 181110A | 302.31803 | -36.89652 | 1.4 | 4 | TBD | 7.66&times;10<sup>-2</sup> | 1.505 
GRB 181103A | 197.11573 | 52.22572 | 1.6 | 1 | TBD | 1.31&times;10<sup>-2</sup> | N/A 
GRB 181030A | 146.92611 | 14.65725 | 1.6 | 1 | TBD | 3.46&times;10<sup>-2</sup> | N/A 
GRB 181023A | 248.32907 | 19.57052 | 1.4 | 1 | TBD | 6.04&times;10<sup>-2</sup> | N/A 
GRB 181022A | 56.7914341906 | -29.3822983143 | 3.7 | 0 | TBD | 8.80&times;10<sup>-3</sup> | N/A 
GRB 181020A | 13.98235 | -47.38074 | 1.4 | 4 | TBD | 1.64&times;10<sup>-2</sup> | 2.938 
GRB 181013A | 207.65162 | 40.10843 | 1.4 | 2 | TBD | 9.41&times;10<sup>-3</sup> | N/A 
GRB 181010A | 52.57034 | -23.03831 | 1.4 | 3 | TBD | 1.89&times;10<sup>-2</sup> | 1.39 
GRB 181003A | 52.5293468612 | -33.9648680499 | 4.9 | 0 | TBD | 1.24&times;10<sup>-2</sup> | N/A 
GRB 181002A | 64.74659 | 15.21289 | 2.2 | 0 | TBD | 0.28 | N/A 
GRB 180930A | 76.86325 | -25.11698 | 1.6 | 0 | TBD | 2.09&times;10<sup>-2</sup> | N/A 
GRB 180925A | 315.20296 | -64.45662 | 1.5 | 4 | TBD | 3.28&times;10<sup>-2</sup> | N/A 
GRB 180924A | 49.19946 | -58.53254 | 1.6 | 3 | TBD | 2.03&times;10<sup>-2</sup> | N/A 
GRB 180914B | 332.35633 | 25.06269 | 3.4 | 0 | TBD | 9.15&times;10<sup>-2</sup> | N/A 
GRB 180905A | 91.06264 | -4.5701 | 1.7 | 0 | TBD | 0.35 | N/A 
GRB 180904A | 274.24975 | 46.62971 | 1.4 | 0 | TBD | 3.37&times;10<sup>-2</sup> | N/A 
GRB 180828A | 268.7163035097 | -25.7982345864 | 3.9 | 0 | TBD | 1.4 | N/A 
GRB 180823A | 210.35581 | 14.89254 | 1.6 | 0 | TBD | 1.24&times;10<sup>-2</sup> | N/A 
GRB 180821A | 7.7901 | -38.62717 | 1.8 | 1 | TBD | 2.11&times;10<sup>-2</sup> | N/A 
GRB 180818B | 104.22453 | 39.31564 | 1.6 | 2 | TBD | 0.13 | N/A 
GRB 180818A | 169.6366 | -48.34457 | 1.7 | 1 | TBD | 0.11 | N/A 
GRB 180812A | 245.83433 | 74.66481 | 1.4 | 0 | TBD | 4.37&times;10<sup>-2</sup> | N/A 
GRB 180809B | 299.69994 | -15.29898 | 1.4 | 4 | TBD | 0.12 | N/A 
GRB 180809A | 297.90307 | -34.78539 | 2.5 | 0 | TBD | 0.12 | N/A 
GRB 180806A | 11.5537875614 | 24.3372733578 | 4.5 | 0 | TBD | 4.58&times;10<sup>-2</sup> | N/A 
GRB 180805B | 25.78161 | -17.49345 | 1.7 | 2 | TBD | 1.63&times;10<sup>-2</sup> | N/A 
GRB 180805A | 167.5656 | -45.33239 | 2.4 | 0 | TBD | 0.17 | N/A 
GRB 180728A | 253.56519 | -54.0443 | 1.4 | 3 | TBD | 0.32 | 0.117 
GRB 180727A | 346.66609 | -63.05186 | 2.0 | 0 | TBD | 2.10&times;10<sup>-2</sup> | N/A 
GRB 180721A | 347.71096 | 4.85672 | 2.8 | 1 | TBD | 6.47&times;10<sup>-2</sup> | N/A 
GRB 180720C | 265.63595 | -26.62918 | 2.0 | 0 | TBD | 0.68 | N/A 
GRB 180720B | 0.5291251324 | -2.9188236414 | 3.5 | 4 | TBD | 3.92&times;10<sup>-2</sup> | 0.654 
GRB 180709A | 38.11774 | 60.34903 | 1.8 | 0 | TBD | 0.89 | N/A 
GRB 180706A | 181.64242 | 66.03684 | 1.5 | 2 | TBD | 1.44&times;10<sup>-2</sup> | N/A 
GRB 180705A | 212.61308 | -11.64738 | 1.8 | 0 | TBD | 5.81&times;10<sup>-2</sup> | N/A 
GRB 180704A | 32.66042 | 69.96401 | 1.4 | 1 | TBD | 0.49 | N/A 
GRB 180703A | 6.4696686233 | -67.1799596965 | 6.1 | 0 | TBD | 2.68&times;10<sup>-2</sup> | N/A 
GRB 180630A | 48.98069 | -87.47874 | 1.4 | 2 | TBD | 0.13 | N/A 
GRB 180626A | 243.57584 | 14.75709 | 1.4 | 3 | TBD | 3.47&times;10<sup>-2</sup> | N/A 
GRB 180624A | 318.09752 | -2.33804 | 1.5 | 0 | TBD | 4.59&times;10<sup>-2</sup> | 2.855 
GRB 180623A | 214.52903 | -60.25323 | 1.4 | 4 | TBD | 1.5 | N/A 
GRB 180620B | 357.52111 | -57.96243 | 1.4 | 4 | TBD | 1.39&times;10<sup>-2</sup> | 1.1175 
GRB 180620A | 279.89628 | 23.24413 | 1.4 | 1 | TBD | 0.16 | N/A 
GRB 180618A | 169.9414 | 73.83732 | 1.5 | 3 | TBD | 4.44&times;10<sup>-2</sup> | N/A 
GRB 180614A | 3.07844 | 46.953 | 1.7 | 0 | TBD | 0.11 | N/A 
GRB 180613A | 211.52154 | -43.07223 | 7.0 | 0 | TBD | 6.50&times;10<sup>-2</sup> | N/A 
GRB 180602A | 142.33181 | 32.06709 | 1.6 | 1 | TBD | 1.56&times;10<sup>-2</sup> | N/A 
GRB 180514A | 197.37068 | 36.97232 | 2.0 | 2 | TBD | 1.18&times;10<sup>-2</sup> | N/A 
GRB 180512A | 201.93799 | 21.40345 | 2.5 | 0 | TBD | 1.73&times;10<sup>-2</sup> | N/A 
GRB 180510B | 77.96907 | -62.32418 | 1.6 | 0 | TBD | 2.54&times;10<sup>-2</sup> | N/A 
GRB 180510A | 276.33205 | -31.90844 | 2.2 | 2 | TBD | 0.21 | N/A 
GRB 180504A | 331.14396 | -14.65864 | 1.4 | 2 | TBD | 3.50&times;10<sup>-2</sup> | N/A 
GRB 180425A | 64.45162 | -32.95228 | 1.4 | 3 | TBD | 2.90&times;10<sup>-2</sup> | N/A 
GRB 180418A | 170.12159 | 24.93315 | 1.8 | 0 | TBD | 1.07&times;10<sup>-2</sup> | N/A 
GRB 180411A | 356.8545538051 | 66.7782273188 | 3.5 | 3 | TBD | 0.83 | N/A 
GRB 180410A | 95.95717 | 12.81144 | 1.5 | 2 | TBD | 0.66 | N/A 
GRB 180409A | 175.842661948 | 36.233916749 | 4.7 | 0 | TBD | 1.68&times;10<sup>-2</sup> | N/A 
GRB 180404B | 53.39319 | -50.21562 | 1.4 | 5 | TBD | 1.13&times;10<sup>-2</sup> | N/A 
GRB 180404A | 83.54889 | -37.16801 | 2.2 | 1 | TBD | 3.07&times;10<sup>-2</sup> | 1 
GRB 180402A | 251.9329042973 | -14.9700209438 | 3.5 | 2 | TBD | 0.29 | N/A 
GRB 180331B | 196.7832 | 61.72642 | 1.5 | 1 | TBD | 1.59&times;10<sup>-2</sup> | N/A 
GRB 180331A | 66.02459 | 13.39892 | 1.4 | 1 | TBD | 0.29 | N/A 
GRB 180329B | 82.90377 | -23.69093 | 1.4 | 2 | TBD | 2.53&times;10<sup>-2</sup> | 1.998 
GRB 180325A | 157.42736 | 24.46353 | 1.4 | 3 | TBD | 1.29&times;10<sup>-2</sup> | 2.25 
GRB 180324A | 76.52726 | 56.71388 | 1.4 | 0 | TBD | 0.38 | N/A 
GRB 180316A | 265.42862 | 0.7481 | 1.4 | 1 | TBD | 0.20 | N/A 
GRB 180314B | 297.88663 | 23.62414 | 1.5 | 2 | TBD | 0.89 | N/A 
GRB 180314A | 99.26527 | -24.49624 | 1.4 | 2 | TBD | 0.15 | 1.445 
GRB 180311A | 3.38772 | -54.49139 | 1.6 | 1 | TBD | 1.59&times;10<sup>-2</sup> | N/A 
GRB 180305A | 49.61841 | 32.10999 | 2.1 | 0 | TBD | 0.24 | N/A 
GRB 180224A | 202.68346 | 38.07873 | 1.4 | 2 | TBD | 8.24&times;10<sup>-3</sup> | N/A 
GRB 180222A | 256.54183 | -36.81161 | 2.0 | 0 | TBD | 0.66 | N/A 
GRB 180210A | 1.84177 | 18.55268 | 1.9 | 0 | TBD | 3.73&times;10<sup>-2</sup> | N/A 
GRB 180205A | 126.81967 | 11.54238 | 1.5 | 0 | TBD | 3.44&times;10<sup>-2</sup> | 1.409 
GRB 180204A | 330.13325 | 30.8379 | 1.4 | 0 | TBD | 0.10 | N/A 
GRB 180115A | 12.0388 | -15.63068 | 1.4 | 2 | TBD | 1.68&times;10<sup>-2</sup> | 2.487 
GRB 180111A | 149.77966 | 48.26739 | 1.6 | 0 | TBD | 1.08&times;10<sup>-2</sup> | N/A 
GRB 180103A | 159.6014 | -53.55586 | 5.3 | 0 | TBD | 0.47 | N/A 
GRB 180102A | 203.06696 | 62.17206 | 1.7 | 1 | TBD | 1.88&times;10<sup>-2</sup> | N/A 
GRB 171222A | 148.27787 | 35.62669 | 3.1 | 5 | TBD | 1.07&times;10<sup>-2</sup> | 2.409 
GRB 171216A | 211.99077 | -50.48481 | 1.4 | 1 | TBD | 0.28 | N/A 
GRB 171212A | 293.91781 | 20.59209 | 2.7 | 0 | TBD | 1.2 | N/A 
GRB 171211A | 98.13462 | -58.69146 | 2.2 | 0 | TBD | 8.89&times;10<sup>-2</sup> | N/A 
GRB 171209A | 139.40275 | -30.52015 | 1.5 | 5 | TBD | 0.21 | N/A 
GRB 171205A | 167.41454 | -12.58853 | 1.6 | 3 | TBD | 5.89&times;10<sup>-2</sup> | 0.0368 
GRB 171124A | 335.47588 | 35.33212 | 2.7 | 0 | TBD | 0.13 | N/A 
GRB 171123A | 186.24649 | 32.50103 | 1.6 | 2 | TBD | 1.90&times;10<sup>-2</sup> | N/A 
GRB 171120A | 163.79084 | 22.45823 | 1.5 | 3 | TBD | 1.17&times;10<sup>-2</sup> | N/A 
GRB 171115A | 278.38818 | 9.12486 | 1.8 | 1 | TBD | 0.30 | N/A 
GRB 171102B | 288.07786 | 22.44428 | 1.6 | 1 | TBD | 0.45 | N/A 
GRB 171027A | 61.6907 | -2.62212 | 1.4 | 4 | TBD | 0.11 | N/A 
GRB 171020A | 39.2484 | 15.20406 | 1.4 | 1 | TBD | 0.16 | 1.87 
GRB 171010B | 34.1347689202 | -54.3919151653 | 4.8 | 0 | TBD | 3.47&times;10<sup>-2</sup> | N/A 
GRB 171010A | 66.58088 | -10.4633 | 1.4 | 2 | TBD | 6.99&times;10<sup>-2</sup> | N/A 
GRB 171007A | 135.60056 | 42.81914 | 2.4 | 0 | TBD | 2.05&times;10<sup>-2</sup> | N/A 
GRB 171004A | 139.16942 | 52.69313 | 1.4 | 4 | TBD | 1.51&times;10<sup>-2</sup> | N/A 
GRB 171001A | 22.07754 | -11.89417 | 1.6 | 1 | TBD | 3.56&times;10<sup>-2</sup> | N/A 
GRB 170921A | 26.84899 | 30.90667 | 1.7 | 1 | TBD | 5.49&times;10<sup>-2</sup> | N/A 
GRB 170912B | 215.45865 | -61.99666 | 1.4 | 1 | TBD | 1.7 | N/A 
GRB 170912A | 167.37328 | -54.32636 | 2.1 | 0 | TBD | 0.31 | N/A 
GRB 170906C | 128.65354 | 70.81166 | 1.5 | 0 | TBD | 3.30&times;10<sup>-2</sup> | N/A 
GRB 170906B | 232.20411 | -28.2561 | 1.9 | 0 | TBD | 0.17 | N/A 
GRB 170906A | 203.95519 | -47.10095 | 1.7 | 5 | TBD | 0.14 | N/A 
GRB 170903A | 254.52594 | 34.97905 | 1.5 | 1 | TBD | 1.74&times;10<sup>-2</sup> | N/A 
GRB 170827A | 276.1508 | -40.2016 | 4.9 | 0 | TBD | 0.12 | N/A 
GRB 170822A | 94.38642 | 55.00412 | 1.4 | 3 | TBD | 0.19 | N/A 
GRB 170813A | 201.05725 | -5.49076 | 2.1 | 0 | TBD | 2.73&times;10<sup>-2</sup> | N/A 
GRB 170810A | 187.93898 | 3.66065 | 1.4 | 2 | TBD | 2.23&times;10<sup>-2</sup> | N/A 
GRB 170804A | 6.39263 | -64.78433 | 1.7 | 1 | TBD | 1.79&times;10<sup>-2</sup> | N/A 
GRB 170803A | 174.93423 | -16.31021 | 1.4 | 1 | TBD | 3.54&times;10<sup>-2</sup> | N/A 
GRB 170728B | 237.98106 | 70.12259 | 1.4 | 1 | TBD | 3.17&times;10<sup>-2</sup> | N/A 
GRB 170728A | 58.88837 | 12.18145 | 1.8 | 0 | TBD | 0.23 | N/A 
GRB 170714A | 34.34983 | 1.99119 | 1.4 | 5 | TBD | 3.61&times;10<sup>-2</sup> | N/A 
GRB 170711A | 45.80053 | 47.84912 | 1.6 | 3 | TBD | 0.32 | N/A 
GRB 170710A | 231.82011 | -38.48496 | 1.7 | 1 | TBD | 0.18 | N/A 
GRB 170705A | 191.7039 | 18.30718 | 1.4 | 4 | TBD | 1.46&times;10<sup>-2</sup> | 2.01 
GRB 170629A | 129.98535 | -46.57136 | 2.4 | 1 | TBD | 0.91 | N/A 
GRB 170626A | 165.391960414 | 56.4764539849 | 3.5 | 3 | TBD | 6.65&times;10<sup>-3</sup> | N/A 
GRB 170607A | 7.36599 | 9.2432 | 1.4 | 5 | TBD | 4.37&times;10<sup>-2</sup> | N/A 
GRB 170604A | 342.65622 | -15.41238 | 1.4 | 3 | TBD | 3.80&times;10<sup>-2</sup> | 1.329 
GRB 170531B | 286.88329 | -16.41924 | 1.4 | 0 | TBD | 0.14 | 2.366 
GRB 170531A | 121.2525470062 | -14.0240002219 | 5.8 | 0 | TBD | 0.12 | N/A 
GRB 170526A | 4.70711 | 1.27709 | 2.3 | 0 | TBD | 3.16&times;10<sup>-2</sup> | N/A 
GRB 170524B | 90.86798 | -17.08295 | 3.0 | 0 | TBD | 0.18 | N/A 
GRB 170524A | 319.48627 | 48.60689 | 6.5 | 0 | TBD | 0.88 | N/A 
GRB 170519A | 163.42704 | 25.37409 | 1.4 | 2 | TBD | 2.37&times;10<sup>-2</sup> | 0.818 
GRB 170516A | 41.56844 | -55.90957 | 1.7 | 2 | TBD | 3.11&times;10<sup>-2</sup> | N/A 
GRB 170510A | 160.15391 | -39.21251 | 2.7 | 0 | TBD | 6.06&times;10<sup>-2</sup> | N/A 
GRB 170428A | 330.07816 | 26.91589 | 2.9 | 0 | TBD | 6.95&times;10<sup>-2</sup> | N/A 
GRB 170419A | 79.85473 | -21.42383 | 1.9 | 0 | TBD | 3.50&times;10<sup>-2</sup> | N/A 
GRB 170405A | 219.82775 | -25.24359 | 1.4 | 3 | TBD | 8.75&times;10<sup>-2</sup> | 3.51 
GRB 170331A | 323.79196 | -24.38634 | 1.7 | 1 | TBD | 4.65&times;10<sup>-2</sup> | N/A 
GRB 170330A | 283.33071 | -13.43132 | 1.4 | 3 | TBD | 0.30 | N/A 
GRB 170318B | 284.30606 | 6.2992 | 1.7 | 0 | TBD | 1.4 | N/A 
GRB 170318A | 305.66717 | 28.40601 | 1.5 | 1 | TBD | 0.44 | N/A 
GRB 170317A | 93.06202 | 50.49303 | 1.4 | 3 | TBD | 0.25 | N/A 
GRB 170311A | 280.58932 | -30.04602 | 1.8 | 0 | TBD | 0.13 | N/A 
GRB 170306A | 263.06966 | -44.74892 | 1.7 | 1 | TBD | 0.38 | N/A 
GRB 170214A | 256.34142 | -1.88746 | 2.9 | 0 | TBD | 0.19 | N/A 
GRB 170208B | 127.14399 | -9.03004 | 1.8 | 2 | TBD | 5.32&times;10<sup>-2</sup> | N/A 
GRB 170208A | 166.56461 | -46.7681 | 1.4 | 0 | TBD | 0.13 | N/A 
GRB 170206B | 271.77052 | 11.19384 | 1.9 | 0 | TBD | 0.11 | N/A 
GRB 170205A | 262.16937 | -0.06304 | 1.4 | 0 | TBD | 0.20 | N/A 
GRB 170202A | 152.5145 | 5.0114 | 1.4 | 4 | TBD | 1.98&times;10<sup>-2</sup> | 3.645 
GRB 170127B | 19.97695 | -30.35795 | 2.6 | 0 | TBD | 2.01&times;10<sup>-2</sup> | N/A 
GRB 170127A | 174.3604533244 | -45.8359870613 | 3.5 | 1 | TBD | 8.45&times;10<sup>-2</sup> | N/A 
GRB 170126A | 263.63293 | -64.76082 | 2.0 | 0 | TBD | 6.99&times;10<sup>-2</sup> | N/A 
GRB 170115A | 332.13877 | 13.72836 | 5.4 | 0 | TBD | 6.07&times;10<sup>-2</sup> | N/A 
GRB 170113A | 61.73325 | -71.94286 | 1.4 | 2 | TBD | 0.11 | 1.968 
GRB 170111A | 20.6973 | -32.56493 | 1.4 | 1 | TBD | 3.10&times;10<sup>-2</sup> | N/A 
GRB 161224A | 204.81585 | -18.02884 | 6.2 | 0 | TBD | 0.11 | N/A 
GRB 161220A | 350.84576 | -47.50136 | 1.9 | 1 | TBD | 1.19&times;10<sup>-2</sup> | N/A 
GRB 161219B | 91.71401 | -26.7916 | 1.4 | 4 | TBD | 3.06&times;10<sup>-2</sup> | 0.1475 
GRB 161217A | 150.65115 | 52.35901 | 1.6 | 2 | TBD | 7.73&times;10<sup>-3</sup> | N/A 
GRB 161214B | 3.8514 | 7.35258 | 1.4 | 2 | TBD | 7.24&times;10<sup>-2</sup> | N/A 
GRB 161202A | 356.90285 | 19.64715 | 1.4 | 2 | TBD | 6.00&times;10<sup>-2</sup> | N/A 
GRB 161129A | 316.22777 | 32.13487 | 1.4 | 1 | TBD | 0.25 | N/A 
GRB 161117B | 298.825 | -67.70253 | 1.6 | 0 | TBD | 6.49&times;10<sup>-2</sup> | N/A 
GRB 161117A | 322.05244 | -29.61385 | 1.4 | 3 | TBD | 4.43&times;10<sup>-2</sup> | 1.549 
GRB 161113A | 179.79374 | -5.30914 | 1.6 | 3 | TBD | 2.11&times;10<sup>-2</sup> | N/A 
GRB 161108A | 180.78792 | 24.86819 | 1.7 | 4 | TBD | 1.79&times;10<sup>-2</sup> | N/A 
GRB 161105A | 120.18375 | -44.77526 | 2.1 | 0 | TBD | 0.41 | N/A 
GRB 161104A | 77.89353 | -51.46009 | 4.5 | 0 | TBD | 1.42&times;10<sup>-2</sup> | N/A 
GRB 161023A | 311.02166 | -47.66352 | 1.7 | 0 | TBD | 3.18&times;10<sup>-2</sup> | 2.708 
GRB 161022A | 129.00141 | 54.3483 | 1.6 | 0 | TBD | 4.13&times;10<sup>-2</sup> | N/A 
GRB 161017A | 142.76887 | 43.12638 | 1.4 | 5 | TBD | 1.83&times;10<sup>-2</sup> | 2.013 
GRB 161015A | 269.252 | 30.37372 | 3.6 | 0 | TBD | 4.66&times;10<sup>-2</sup> | N/A 
GRB 161014A | 332.64756 | 7.46878 | 1.5 | 2 | TBD | 7.55&times;10<sup>-2</sup> | 2.823 
GRB 161011A | 245.72867 | 8.31103 | 1.5 | 4 | TBD | 5.25&times;10<sup>-2</sup> | N/A 
GRB 161010A | 275.21344 | -28.78513 | 1.8 | 0 | TBD | 0.25 | N/A 
GRB 161007A | 103.40904 | 23.30673 | 1.4 | 2 | TBD | 0.17 | N/A 
GRB 161004B | 112.15101 | -39.89803 | 1.4 | 1 | TBD | 0.35 | N/A 
GRB 161004A | 263.15238 | -0.95089 | 1.4 | 0 | TBD | 0.19 | N/A 
GRB 161001A | 71.92017 | -57.26107 | 1.4 | 1 | TBD | 1.11&times;10<sup>-2</sup> | N/A 
GRB 160927A | 256.24247 | 17.33201 | 1.8 | 0 | TBD | 7.14&times;10<sup>-2</sup> | N/A 
GRB 160917A | 295.66641 | 46.404 | 1.4 | 0 | TBD | 0.17 | N/A 
GRB 160912A | 301.49924 | 57.56544 | 1.7 | 2 | TBD | 0.24 | N/A 
GRB 160910A | 221.44184 | 39.06702 | 2.6 | 0 | TBD | 1.06&times;10<sup>-2</sup> | N/A 
GRB 160905A | 162.24606 | -50.8011 | 1.4 | 4 | TBD | 0.38 | N/A 
GRB 160826A | 183.11307 | -67.66439 | 1.4 | 0 | TBD | 0.46 | N/A 
GRB 160824A | 80.0876 | 40.02831 | 1.4 | 2 | TBD | 0.63 | N/A 
GRB 160821B | 279.97622 | 62.39133 | 2.9 | 0 | TBD | 5.75&times;10<sup>-2</sup> | N/A 
GRB 160816A | 322.41124 | 37.13285 | 1.9 | 0 | TBD | 0.28 | N/A 
GRB 160815A | 288.5383 | 84.31396 | 1.7 | 1 | TBD | 7.52&times;10<sup>-2</sup> | N/A 
GRB 160804A | 221.63001 | 9.99893 | 1.5 | 5 | TBD | 1.92&times;10<sup>-2</sup> | 0.736 
GRB 160801A | 212.76295 | 13.48918 | 2.0 | 0 | TBD | 1.59&times;10<sup>-2</sup> | N/A 
GRB 160716A | 190.43739 | -61.35102 | 2.6 | 0 | TBD | 0.96 | N/A 
GRB 160712A | 304.15984 | -26.95821 | 1.7 | 0 | TBD | 8.30&times;10<sup>-2</sup> | N/A 
GRB 160705B | 168.10936 | 46.6999 | 1.6 | 1 | TBD | 1.19&times;10<sup>-2</sup> | N/A 
GRB 160703A | N/A | N/A | N/A | 0 | TBD | N/A | N/A 
GRB 160630A | 198.25914 | -56.04184 | 1.4 | 1 | TBD | 0.39 | N/A 
GRB 160629A | 4.86319 | 76.96735 | 3.0 | 0 | TBD | 0.33 | 3.33 
GRB 160625B | 308.59862 | 6.91976 | 2.0 | 0 | TBD | 9.76&times;10<sup>-2</sup> | 1.406 
GRB 160625A | 176.91591 | -65.14474 | 2.6 | 0 | TBD | 1.0 | N/A 
GRB 160624A | 330.19255 | 29.64382 | 2.0 | 0 | TBD | 9.14&times;10<sup>-2</sup> | N/A 
GRB 160623A | 315.29807 | 42.22097 | 1.5 | 1 | TBD | 0.72 | 0.367 
GRB 160611A | 164.42231 | -70.39245 | 1.5 | 1 | TBD | 0.17 | N/A 
GRB 160607A | 13.66733 | -4.94848 | 1.4 | 5 | TBD | 5.12&times;10<sup>-2</sup> | N/A 
GRB 160601A | 234.93563 | 64.54131 | 5.5 | 0 | TBD | 2.04&times;10<sup>-2</sup> | N/A 
GRB 160525B | 149.38458 | 51.20667 | 1.7 | 0 | TBD | 8.31&times;10<sup>-3</sup> | N/A 
GRB 160521B | 147.66634 | 79.03071 | 4.6 | 0 | TBD | 1.85&times;10<sup>-2</sup> | N/A 
GRB 160509A | 311.75298 | 76.10799 | 1.5 | 2 | TBD | 0.21 | 1.17 
GRB 160506A | 265.8486 | -46.1342 | 2.0 | 5 | TBD | 0.27 | N/A 
GRB 160504A | 170.07219 | 56.0015 | 1.5 | 4 | TBD | 8.12&times;10<sup>-3</sup> | N/A 
GRB 160501A | 286.38428 | -17.24149 | 1.9 | 2 | TBD | 0.16 | N/A 
GRB 160425A | 280.32731 | -54.36004 | 1.4 | 1 | TBD | 7.74&times;10<sup>-2</sup> | 0.555 
GRB 160422A | 42.09455 | -57.87497 | 1.9 | 0 | TBD | 2.32&times;10<sup>-2</sup> | N/A 
GRB 160417A | 120.25686 | 7.66279 | 1.5 | 2 | TBD | 2.92&times;10<sup>-2</sup> | N/A 
GRB 160412A | 33.04608 | -67.62687 | 1.9 | 3 | TBD | 4.38&times;10<sup>-2</sup> | N/A 
GRB 160411A | 349.35695 | -40.24232 | 2.9 | 0 | TBD | 1.61&times;10<sup>-2</sup> | N/A 
GRB 160410A | 150.6853 | 3.47807 | 3.5 | 2 | TBD | 1.77&times;10<sup>-2</sup> | 1.717 
GRB 160408A | 122.6247 | 71.12825 | 1.9 | 0 | TBD | 4.18&times;10<sup>-2</sup> | N/A 
GRB 160327A | 146.70235 | 54.01289 | 1.5 | 2 | TBD | 1.18&times;10<sup>-2</sup> | N/A 
GRB 160325A | 15.65116 | -72.6968 | 1.4 | 3 | TBD | 0.59 | N/A 
GRB 160321A | 99.41988 | 5.74777 | 1.8 | 0 | TBD | 0.72 | N/A 
GRB 160314A | 112.79083 | 16.99929 | 3.9 | 0 | TBD | 6.19&times;10<sup>-2</sup> | 0.726 
GRB 160313A | 183.79661 | 57.28361 | 2.1 | 0 | TBD | 1.32&times;10<sup>-2</sup> | N/A 
