,Burst Name,Burst ID,Boxes,Count
522,GRB110106B,95373544,5,26
523,GRB110112A,95373545,3,30
524,GRB110119A,95373546,5,33
525,GRB110128A,95373547,3,33
526,GRB110201A,95373548,3,30
527,GRB110205A,95373549,8,40
528,GRB110207A,95373551,6,29
529,GRB110208A,95373553,4,33
530,GRB110210A,95373556,3,36
531,GRB110212A,95373558,4,33
532,GRB110213A,95373559,6,33
533,GRB110223A,95373560,3,37
534,GRB110223B,95373561,9,33
535,GRB110305A,95373562,3,35
536,GRB110312A,95373563,7,28
537,GRB110315A,95373564,7,30
538,GRB110318A,95373566,6,33
539,GRB110318B,95373569,4,40
540,GRB110319A,95373570,3,27
541,GRB110402A,95373573,4,28
542,GRB110407A,95373574,4,29
543,GRB110411A,95373575,5,28
544,GRB110412A,95373576,3,30
545,GRB110414A,95373577,5,25
546,GRB110420A,95373578,3,30
547,GRB110420B,95373579,3,31
548,GRB110422A,95373583,4,30
549,GRB110503A,95373584,3,40
550,GRB110519A,95373586,3,32
551,GRB110520A,95373587,3,34
552,GRB110521A,95373588,3,30
553,GRB110530A,95373589,6,33
554,GRB110610A,95373590,7,28
555,GRB110625A,95373591,5,36
556,GRB110709A,95373592,7,32
557,GRB110709B,95373595,6,30
558,GRB110715A,95373598,5,31
559,GRB110719A,95373600,3,31
560,GRB110726A,95373601,3,27
561,GRB110731A,95373602,3,28
562,GRB110801A,95373603,5,36
563,GRB110808A,95373604,3,20
564,GRB110818A,95373605,3,27
565,GRB110820A,95373606,5,38
566,GRB110827A,95373607,4,32
567,GRB110915A,95373609,5,25
568,GRB110921A,95373612,6,27
569,GRB110928A,95373614,5,27
570,GRB111005A,95373616,7,33
571,GRB111008A,95373617,8,34
572,GRB111016A,95373618,8,37
573,GRB111018A,95373619,5,22
574,GRB111020A,95373620,4,38
575,GRB111022A,95373621,5,33
576,GRB111022B,95373623,2,22
577,GRB111026A,95373626,4,29
578,GRB111029A,95373627,3,33
579,GRB111103A,95373629,7,38
580,GRB111103B,95373630,6,34
581,GRB111107A,95373631,3,28
582,GRB111109A,95373633,5,42
583,GRB111117A,95373634,4,30
584,GRB111121A,95373635,4,29
585,GRB111123A,95373638,4,30
586,GRB111129A,95373640,5,27
587,GRB111204A,95373642,3,29
588,GRB111209A,95373643,2,34
589,GRB111210A,95373644,3,32
590,GRB111212A,95373645,3,30
591,GRB111215A,95373646,1,34
592,GRB111225A,95373647,3,25
593,GRB111228A,95373648,8,30
594,GRB111229A,95373651,5,32
595,GRB120102A,95373653,7,32
596,GRB120106A,95373655,5,36
597,GRB120116A,95373657,6,30
598,GRB120118B,95373658,5,27
599,GRB120119A,95373659,3,25
600,GRB120121A,95373660,4,30
601,GRB120211A,95373661,4,31
602,GRB120212A,95373662,4,30
603,GRB120213A,95373663,3,35
604,GRB120215A,95373666,3,30
605,GRB120218A,95373667,8,24
606,GRB120219A,95373670,4,32
607,GRB120224A,95373671,4,32
608,GRB120229A,95373673,3,40
609,GRB120305A,95373674,3,29
610,GRB120308A,95373675,4,33
611,GRB120311A,95373676,3,37
612,GRB120311B,95373678,7,32
613,GRB120312A,95373681,4,33
614,GRB120320A,95373683,5,30
615,GRB120324A,95373684,6,27
616,GRB120326A,95373685,5,27
617,GRB120327A,95373686,8,38
618,GRB120328A,95373687,5,29
619,GRB120401A,95373689,3,23
620,GRB120403A,95373690,3,34
621,GRB120403B,95373694,3,36
622,GRB120404A,95373696,4,32
623,GRB120422A,95373697,6,32
624,GRB120514A,95373698,7,36
625,GRB120521A,95373699,3,34
626,GRB120521B,95373700,3,31
627,GRB120521C,95373702,4,34
628,GRB120612A,95373703,3,31
629,GRB120624B,95373704,9,28
630,GRB120630A,95373706,3,30
631,GRB120701A,95373708,5,29
632,GRB120703A,95373710,4,24
633,GRB120711B,95373711,3,26
634,GRB120712A,95373712,5,35
635,GRB120714A,95373714,3,30
636,GRB120714B,95373716,4,32
637,GRB120722A,95373717,5,33
638,GRB120724A,95373718,3,26
639,GRB120728A,95373721,3,25
640,GRB120729A,95373723,3,30
641,GRB120802A,95373724,6,34
642,GRB120803A,95373725,4,32
643,GRB120803B,95373726,3,27
644,GRB120804A,95373728,4,28
645,GRB120805A,95373730,4,34
646,GRB120807A,95373731,4,27
647,GRB120811A,95373732,5,35
648,GRB120811C,95373735,3,30
649,GRB120815A,95373736,4,31
650,GRB120816A,95373738,3,35
651,GRB120817A,95373739,5,24
652,GRB120817B,95373740,3,28
653,GRB120819A,95373742,4,31
654,GRB120907A,95373743,5,34
655,GRB120909A,95373744,3,29
656,GRB120911A,95373745,4,32
657,GRB120913A,95373746,7,33
658,GRB120913B,95373748,8,31
659,GRB120918A,95373751,7,34
660,GRB120922A,95373753,6,39
661,GRB120923A,95373754,8,29
662,GRB120927A,95373756,4,39
663,GRB121001A,95373757,3,32
664,GRB121011A,95373758,4,26
665,GRB121014A,95373759,7,24
666,GRB121017A,95373760,3,31
667,GRB121024A,95373762,4,31
668,GRB121027A,95373765,4,31
669,GRB121028A,95373766,3,33
670,GRB121031A,95373767,5,34
671,GRB121102A,95373769,3,40
672,GRB121108A,95373770,7,27
673,GRB121117A,95373772,4,29
674,GRB121123A,95373773,4,36
675,GRB121125A,95373774,5,35
676,GRB121128A,95373776,8,27
677,GRB121201A,95373778,7,29
678,GRB121202A,95373780,4,32
679,GRB121209A,95373782,11,37
680,GRB121211A,95373783,7,30
681,GRB121212A,95373784,4,31
682,GRB121217A,95373785,6,34
683,GRB121226A,95373786,3,25
684,GRB121229A,95373788,2,37
685,GRB130102A,95373790,3,34
686,GRB130122A,95373793,2,30
687,GRB130131A,95373794,5,35
688,GRB130131B,95373795,3,35
689,GRB130206A,95373797,5,32
690,GRB130211A,95373798,4,33
691,GRB130215A,95373799,4,33
692,GRB130216A,95373800,5,33
693,GRB130305A,95373802,3,35
694,GRB130306A,95373804,3,27
695,GRB130313A,95373805,3,28
696,GRB130315A,95373807,6,31
697,GRB130327A,95373808,4,32
698,GRB130408A,95373811,4,31
699,GRB130418A,95373812,3,25
700,GRB130419A,95373813,2,30
701,GRB130420A,95373814,4,25
702,GRB130420B,95373817,4,35
703,GRB130427A,95373818,4,34
704,GRB130427B,95373819,4,31
705,GRB130502A,95373821,3,30
706,GRB130504A,95373823,5,33
707,GRB130505A,95373824,3,33
708,GRB130508A,95373825,3,32
709,GRB130511A,95373826,4,38
710,GRB130514A,95373827,6,31
711,GRB130515A,95373830,3,31
712,GRB130518A,95373832,3,35
713,GRB130521A,95373833,3,24
714,GRB130527A,95373835,4,37
715,GRB130528A,95373837,3,30
716,GRB130529A,95373838,6,28
717,GRB130603A,95373839,4,30
718,GRB130603B,95373840,3,37
719,GRB130604A,95373841,3,26
720,GRB130605A,95373844,4,35
721,GRB130606A,95373845,6,29
722,GRB130608A,95373846,6,36
723,GRB130609A,95373849,3,28
724,GRB130609B,95373851,7,34
725,GRB130610A,95373852,3,33
726,GRB130612A,95373853,3,34
727,GRB130615A,95373854,3,26
728,GRB130625A,95373855,3,29
729,GRB130626A,95373857,4,36
730,GRB130627A,95373859,7,35
731,GRB130627B,95373860,5,30
732,GRB130701A,95373862,3,35
733,GRB130716A,95373864,3,36
734,GRB130719A,95373865,3,27
735,GRB130722A,95373866,6,30
736,GRB130725A,95373867,4,28
737,GRB130725B,95373868,3,23
738,GRB130727A,95373871,6,30
739,GRB130803A,95373872,6,38
740,GRB130806A,95373874,5,32
741,GRB130807A,95373876,5,36
742,GRB130812A,95373877,4,26
743,GRB130816A,95373879,5,26
744,GRB130816B,95373880,4,37
745,GRB130822A,95373881,3,28
746,GRB130829A,95373882,5,31
747,GRB130831A,95373883,6,29
748,GRB130831B,95373885,5,27
749,GRB130907A,95373887,4,24
750,GRB130912A,95373889,3,32
751,GRB130919A,95373890,5,34
752,GRB130925A,95373893,3,30
753,GRB130929A,95373894,4,29
754,GRB131002A,95373895,5,37
755,GRB131002B,95373896,3,34
756,GRB131004A,95373898,3,29
757,GRB131018A,95373900,4,26
758,GRB131024A,95373902,6,33
759,GRB131024B,95373903,4,31
760,GRB131030A,95373904,3,37
761,GRB131031A,95373906,5,31
762,GRB131103A,95373907,5,33
763,GRB131105A,95373908,11,31
764,GRB131117A,95373910,4,29
765,GRB131120A,95373911,2,27
766,GRB131127A,95373914,7,37
767,GRB131128A,95373916,4,32
768,GRB131202A,95373917,5,35
769,GRB131205A,95373918,5,26
770,GRB131226A,95373919,4,32
771,GRB131227A,95373921,5,28
772,GRB131229A,95373922,4,26
773,GRB140102A,95373924,3,27
774,GRB140103A,95373925,5,26
775,GRB140108A,95373927,7,35
776,GRB140114A,95373929,3,30
777,GRB140118A,95373930,7,38
778,GRB140129A,95373931,3,31
779,GRB140129B,95373932,4,33
780,GRB140206A,95373933,5,28
781,GRB140209A,95373936,3,22
782,GRB140211A,95373937,5,28
783,GRB140213A,95373939,4,29
784,GRB140215A,95373941,3,28
785,GRB140301A,95373943,7,26
786,GRB140302A,95373944,4,31
787,GRB140304A,95373945,6,28
788,GRB140305A,95373946,2,31
789,GRB140311A,95373948,5,28
790,GRB140318A,95373949,3,31
791,GRB140320A,95373950,3,36
792,GRB140323A,95373952,7,28
793,GRB140331A,95373956,3,30
794,GRB140408A,95373957,3,29
795,GRB140412A,95373958,5,36
796,GRB140413A,95373959,6,30
797,GRB140419A,95373960,5,31
798,GRB140423A,95373961,5,29
799,GRB140428A,95373963,4,33
800,GRB140430A,95373964,5,28
801,GRB140502A,95373966,3,31
802,GRB140506A,95373969,4,32
803,GRB140509A,95373970,5,36
804,GRB140512A,95373971,8,28
805,GRB140515A,95373972,7,30
806,GRB140516A,95373973,3,29
807,GRB140518A,95373974,6,29
808,GRB140521A,95373977,3,36
809,GRB140606A,95373978,3,30
810,GRB140607A,95373979,3,26
811,GRB140610A,95373983,4,36
812,GRB140611A,95373984,4,29
813,GRB140614A,95373985,5,30
814,GRB140614B,95373986,4,29
815,GRB140619A,95373987,8,33
816,GRB140622A,95373988,4,32
817,GRB140626A,95373990,6,28
818,GRB140628A,95373991,4,32
819,GRB140629A,95373992,5,30
820,GRB140703A,95373997,6,25
821,GRB140706A,95373998,8,32
822,GRB140709A,95373999,8,31
823,GRB140709B,95374000,6,25
824,GRB140710A,95374001,3,34
825,GRB140713A,95374002,4,35
826,GRB140716A-2,95374003,2,28
827,GRB140719A,95374005,3,27
828,GRB140719B,95374006,4,32
829,GRB140730A,95374010,6,31
830,GRB140817A,95374011,5,24
831,GRB140818B,95374012,3,25
832,GRB140824A,95374013,3,34
833,GRB140828A,95374014,3,29
834,GRB140903A,95374016,3,21
835,GRB140907A,95374017,5,26
836,GRB140916A,95374019,3,30
