Name,Amount
KerryKnight,32
Zeyad_R,19
Alex-Andersson,24
aquabluesplash,8
CarlosBA,60
Mahjabin,46
mroeling,39
algybrew,15
ruprechtludwig,3
JeanNimes,4
Jabberwocky004,37
FC2505,17
Ayush-Chauhan,8
IncompleteIntegers,31
Brammie12,1
john_scarborough,149
Chrust,19
canopus228,22
Superfrog,6
hwendt42,230
christinak,19
103percent,1
Soltere11,47
Nive15,5
Radhamess,6
detlev,47
mikepapo,60
ajbicgz,37
ETaylor44,6
Artem1s223,30
jfal,58
-Peter-,1
LisaV,8
sinjinza1984,37
SanderDV,30
Cgr,9
KoHi,19
mcSeamus,19
Qwandy,71
Lewis_I_Haley,12
LesCowling,8
Jerek,70
Mojoh,1
laodicino,9
SmallGreenFrog,91
MikeYates,1
RECoet,28
bobs,30
Ekke,166
dantezoo,52
MasieRH,104
steepleKen,18
allgravity,226
zarchont,2
Joe_Bleasdale,25
ilisepe1,3
Freitags,1
phil42,21
gioxxx,18
Opalibra,36
tysondabney,1
Mark_Bastick,60
VaneGotta,13
NineHills,27
pauldenheijer,14
Elferine,23
jonathandodds,21
langecrew,5
BobbyV,44
HalcyonZR,3
zoony100,40
Kugellager,99
arobin,38
rosebeth,324
Bakitus,3
Thom_D,21
annparker,1
Raymo29,25
ljcouch,16
gianlucafinocchiaro75,65
BurleyMoor,79
Hesperi,110
athemyahba,8
Jose_Campos,21
JTC49,3
tdenton,2
smannchakk,27
hdplunkett,19
BillQn,19
paulbidston,1
Ajimenezsa,39
Conany,96
arobara99,26
CamomilleNott,34
crzyred,3
bert_willard,39
assodicuori,5
Alaffran,13
michawley49,45
mitipatel,37
GropoDeluxe,2
Wxols,46
Cdmsg.7,8
Snies,79
pulsar11,5
nixxie_pixx,4
samik_saha,21
Salem_Sino,8
Exoplanet58,2
dohblydim5,3
jangugliotti,13
Larry.Melanson,15
Florentina824,48
rinaldid,9
southofnonorth,20
greg1911,19
JohnWarm,28
Harry916,142
Vanessa_87,18
Bjarne27,61
PuffinMelody90,62
JLF1,182
normanbeebee,44
Nestle13,23
Anniebird,21
EvEnuS17,20
mangusr,8
ckrebs16801,33
Wolfgang-Gerhard,994
Frostie5,18
Cellularity,239
planetari7,1487
fogelvogel,29
kencook1,352
David1983,14
LeaGallagher,24
Haben_Belai,12
AlanMGross,3
kumarnikate,12
cphoffmantx,51
JMatos,46
bjohnson939,24
Tpharkins1,20
Shreyann,5
rainshadow,19
astronomicom1,6
Somethingnew,48
kkzz,5
valpaz,7
Cyborg101a,4
Nikolay_S,15
ashcostello,14
pacomarbas,1
DanForster59,70
urbanohno,56
Ranea,49
NickC62,696
Majd_Elkhatib,1
Testi,137
willyto1,89
repox,53
trouille,9
Tarl72,21
patrickmarks,32
p0st1e64,9
petyerakne,460
kanahani,166
weaverzinc,62
LeCaniveau,33
GRoger,21
GOVIGNON,780
Shizim,27
Mokshithgowda,13
jjcarrol,23
Nylfaen,13
mm2223,10
hnbt,18
Celiaros,17
HamaSmith,1
chuckri24,2
halleyyy_,1
Natblomst,73
jsae-ger,24
Pokemon576,1
wolfie41guitar,6
jamesrc72,48
ansuya1,21
lwayne,9
Michkov,2
Kapybara79,4
Grogfish,42
Johnz60,15
Haguen,1
jdrkcrow,4
GeoSpotter,29
rjcSE1,155
ropiez,1
fapzry,8
PetMor,12
CoffeeNaut,30
orionlee,6
pandriole,13
Laceyseward,9
NatDaree,27
Compassion,2
Julia1503,1
lid124,2
Sudharsanmani,73
Tflournoy,49
Drewsfam,3
wjsolo,30
rodolaly,80
Nabuchodonozorro,21
jrwelch,79
martinlab,47
cmbarr,24
opalsea,3
melissaoak,3
kickassaleen,182
Hrh79kunda,52
TyradeForReal,7
SidKuchi222,11
Couchpotato,9
Cchap88,4
Astrojoobs,32
msettles,2
Zoemast,28
Tradespark,19
wangqintao,25
TomMARS,34
satishraghavan,7
mekon1950,38
Sluggie,643
Damaxfield,110
dockuenkel,6
tyarbutiski,28
Pamdabear,33
Parth_bhawsar,3
probb,141
erbus,19
init0n3,8
aginart,7
Zigmeister,10
jh2001,10
beyondcommunication,13
Leonor_Bloomberg_ENG,277
Kenhoge,28
Bennickerson,1
kartik1608,20
RPGprayer,45
FinnSun,2786
Wallace_Johnson,21
isk,46
peakscience7,47
Zircon_Swatch,1
rdlutz,19
JeremyEllis,20
Samad000,23
marneegalpin,11
Mazda3,30
NileshDongre,24
carlosgua,89
jakryk,8
Jeff_Pyman,43
tactoe,26
MMJones,54
fguenther,151
jaop2p,23
CazzyB,15
janineweston,6
philip.cross,7
7475,24
pmneve,79
shiggins1377,25
RobTurner,48
AEKO,17
CStoop,20
Charlieb24,5
Daniel7836,2
Vqard,2
N5bz,1190
nostep,37
CapitainePicard,72
TealPlates55,71
uuk,2
vanrenter,34
Sindronio,3
daniel_giacumbo,53
Ev-Lynn,23
jhhelios,43
BenD.,22
zarzak,2
NickBrett2,4
Diniah,34
Medion12,1
MJB2048,6
StephenPatrickBrennan,29
winddancing,11
brisseme,14
biologymatt,43
Notherngirl,4
SIUU123,19
jwbelford,55
alexob6,21
Ninja.,22
damax370,63
flya200,2
Lupino_sci,7
alebot,41
I_is_Michael,71
cdprojects,97
pehamill,49
aita,39
FraYsTer,29
am2am2,105
MaryV,8
POJ,34
Arunan,63
AnjaliBhstia,192
gdb1,3
T.O.V.,163
svr303,3
Lmagoc,27
fictionalstability,19
Ceschaba,62
RitaY,23
karlitastyle09,219
rjb42,24
michael.brian,281
kasef,125
f0ma,4
MurawskiC1,5
Ionepositivo,22
totts,5
OliIte,26
deleted-2682304,35
Jernesto,4
JodiRB46,81
Kai.kenison,20
jrchem,2122
ksenia-trusova,195
melby,20
alchymylab,12
alinefornear,13
hpetre,5
jkolhoff,16
andrew_waibel,54
Ipe23,193
apotterdd,46
chorltonsafc,21
ehgns1229,9
marciakishi,20
vladimirfr1976,22
Kleison,36
tsering,74
appleinmotion,1
MacBagbul,3
Edmond_Dantes,103
Kimyriel,20
Ineedspace,3319
airam,16
Alissja,37
Pedro_Pereira,6
FierDancr,36
Anthonykevin,60
Jumpersenior86,22
macjonj65,24
flowerpowers,49
Kate_the_Great,195
ssuzuki_mrita,19
robinstratford,59
mablewoodbury17,1
tenshikawaii,20
rick50,66
Raghav_Mishra,210
Idezax,20
Edwards8,30
amirmahdi89,1
Sanmon999,112
Ahanaf,26
brownhatter,53
Coolfluffyd,6
extra_t,109
juuleeezz,14
zebra1407,5
dramlee,19
Stevejsavage,101
mo_rieding,21
Hojicha_T,19
HAMMERFLINGER,20
Dmitrii-29,613
turbomike,4
MaEdHa,4
J.callum.b,21
mwatkins1994,8
aaguba,73
Yudhiraj,29
958bacsal,15
AndyGuliev,9
MegMoller,79
vjgp,26
Gilgamesh27,39
AnnetteB.,23
Minnavia,65
Ablation,46
Pronabd2017,31
MicroD,16
MisterMike,1486
TECaldwell,19
kumquats,44
aschroed59,3
lolobaba1,19
FluffyCirrius,20
sgalloster,19
AssDumb,8
MikhailG924,28
kamelden,27
MalkyBee,9
gulpfumetti,18
soo22,53
blackholeresearch,7
doreabitten,41
Topper1,66
rjrjr,79
popmarii,2
Astro_Denny,24
anapizg,37
TimeDude,14
BCChaser,87
aquafish,9
Symoss23,5
rasbora8,15
Solar_Burst,238
Beithe24,38
errosell,814
murphm000,20
Pedrocastellano,27
dwwhitman,24
cdhamby,705
beckmar,31
jziber,195
LorraineWoellert,55
brightongal,23
LukeM714,9
cam8528,70
Wuffo1,8
SilverBrendan,1
InTheBeginning,20
ArtMonroe,51
Thevenin,24
JTWaidner,22
laylajacques,20
johnvk,599
lsaffer1,137
hubokrew,20
genrostars,95
dehamilton,4
mijikin,35
DavidAnderson1056,14
2goldogs,15
privatewiddle,19
AmyLien,9
ishaan_ramesh,85
toddkatz18473,1
the_masked,9
pedey,2
patrickotoole89,20
Chati0101,20
diana.a.castro,23
Masonj10,5
jbridg5,14
thomaspinckney3,6
ganmor,103
VE6OWO,13
raptor197,1541
pritam25j,8
foodog,81
Highbuddha,2
Shirls_Mac,4
Re9Pan9A,47
GMPS.Zoo91,50
Evasquez2003,937
BohdanaVasylchyshyn17,32
Rubru,95
radfallrose,46
sandrosauro,43
sjkskamd,77
nilium,20
CryWolf74,21
TobyTree,67
Gary-G,37
Chas1137,20
SiOx,18
5dk6mtr7sn,12
myates,3
carinajean,23
gregpennings,15
Hemiunu74,94
nathancbell,2985
ShayaanY,16
bnfoley,272
dnunke,257
Goodwinb,43
JimD190,76
It118893,49
AstroPlod,62
mjpolson,10
Kmaz,126
ngstephanz,4
tintinh,74
toaldu,23
billbynum,32
olle_o,35
melonfruut,9
Boncker,4
johnlauger,9
Armeec55,51
debastiani.jose,8
seameadow,64
Gnash,68
seraphandsaint1229,2
harlak,23
Trailflix_AU,22
vahid22,7
laurensssss,10
familysharingjf,16
Taxahaw,1
AidenHJung,854
danjou,2
Lorenzo_Bellizzi,23
carloartemi,100
Faelan,8
ikklechick,2
dumbodibango,10
MikeFarm,33
kidtyro,78
Falcon228,38
d_w,3
mecs,8
toxdoc94,95
rgarcia16,104
rwshaw,4
TammieM3ENF,5
Rattus,44
medziotojas,17
Koipondlover,2
RAMarino,3
JRocSmooth,23
marius_jo,1549
ANDREA1710,2
lizpalmer1,19
TheNerdyestNerd,14
orysi,121
herbiemolina,27
ZoePvol,15
KristiinaVi,11
Jack-s,77
Elektrogott,57
Kostula,108
rpildis,38
Ori_m42,31
Johnlinehan2020,19
JohnMatt632,16
Stan_,26
brookegreen,22
chirotox,5
thorsteinn,60
deaconblue1103,19
Deleteduser1536599,28
Klarion,354
NikZaq,10
kassen,31
DarkMatter10101,5
JayneEG4,19
Sekiro76,5
Martinius,19
pdezendorf,9
chaichan,113
Chinabob,11
barrywstuart,7
Sabel2000,27
Amiaros,332
abington,6
Anilarao,4
Nashir,8
Hermione22,21
samundson,111
Lucy_Schumer,51
Peica,80
NonLinearTurtle,43
gdcage,5
Pythagora,10
TampaBrian,51
breckwilhite,28
hhutchins,30
Peters_puberty,7
zrss,24
jerryCashman,21
Slaytan17,17
puffferfish,17
apeshigh,250
xmauro,8
InoSenpai,1455
starchitect,2
Undeadmonkey,11
Bobbymoniz,11
LtLegume,80
DShoates,1
phoebe_lister,46
tlstell,14
Psh0239,29
squidfeathers,10
Antoine013,15
Sadid,9
Azulart,32
JLantinga,104
APart,45
AlphaK,42
snow1,26
spcoakley,98
Katesp,9
Deen.Hadzigrahic,25
LizWohlSanchez,89
Gwenau07,4
woodman527,21
Garota_Curiosa,127
BruceHarry,25
mcallasterh,36
OjasRPatil,20
MicrowaveJohn,39
lUominoForte,94
TheDJ,5
jaworekplay,41
Birdy11,7
docclay,29
PenguinLilly,51
TallyNole,1
SnowCat,155
Amarpal,4
Giraffes,595
phrentect,2
Stephenandrews77,45
L-Lass,20
RobStarMan,70
greenie01,18
Mencapopendoor,4
NBAH,16
Cosmobishal,8
syrthio,14
Kellyjean5,177
MMDAVIS777,3
GRB123,130
geistjaeger,21
PAmos,57
scottmcelmeel,28
kdnoble,64
LJcnelep,11
L0tus,9
carl669,21
Cicely_H,14
Woodsr,33
Task_Force_1,11
Arman_Hossen,4
Snowcaveman,4
Dvtdale,29
Sauron_IT,64
Robert_Palatinate,21
marius_aga,19
NibelungIt,24
cgraph,12
BruceEasom,251
millstones,68
Sir_Gamalex,8
Gritty100,16
KatBegelfer,3
janrou,265
Graviton,12
Maanav_Patel,4
hibs2009,3
qazqew,16
sisbar,48
joltcode,1
roboraven,5
Ftrue55,43
Fream,28
daerabrown,39
Livvyh26,20
Bryleigh,22
Nayelly3824,20
Lobke,55
p13giraffe,14
BS2946,94
floD621,19
HorseMcGinty,40
savi12390,19
ellie2808,10
Benj19,15
FlyingSilver529,19
jupjcc,28
Elres06,6
yousifA,16
Catchafallingstar,21
egor_shipilin,34
MattR636,37
Betegeuse,7
CrossandraInfundibuliformis,48
Vibe528hz,22
PerryRhodan005,32
Nealo,63
HippyPhysicist,50
odin360,13
JamesMichaelGibbs,39
Galnix,8
Serafin40,8
dofurchina,2
annapop,210
Hallo1701,54
npsheppard,36
ljluka,255
Mike8922,511
otiscnj,36
EEZuidema,4
joowan_park,1
tbertie,6
TimParker,19
Watatacka,4
Dominig17,6
derton,31
gerrya,36
OrleoMarinaro,32
._._.,1
BonnieSP,76
Kauppakassi,1510
srjohnson100,19
Diego1969,19
skorbolamid,281
SpacedMan,43
Qsarkiss,57
Old-gazer,55
Fishquill,44
kittydiablo,21
Malucas,39
TimTaylor,32
Slayz,12
Krishna8483,4
SuperDave33,5
Pattyanne15,3
Trickaah,20
bobthebirder,12
DroliaPrakhar15,18
SLR4,5
luigifromoz,138
Afrospacechild,26
Mbrewy,5
Ludwig_T,96
KarlT07,17
Abullock123,2
tdsutherlin,26
GrampaClyde,10
robertgreene,1
dbJPO,4
BlackCat1176,3
bomailliw,19
avgoulea,4
Koalification,61
ltd500,5
Rule_rad,11
jessijuice,3
Kmac1967,16
elizcurlz,19
Seventy3,6
cszabo1,50
jpverrilli,2
jayanisuresh,9
yorgoss,3
Alirezafani,47
grahamluckhurst,24
Lostralis,1519
janster123,44
unclehenderson,8
RedKaweah,1
1Wildheart,90
alexanka,52
SpikesPeak,36
lil_giygas,14
PVosatka,13
Zalecci65,20
MoutainForest_Honey,27
Bmac555,5
MPetersen,76
Hayden_Hradek,8
Darkfuture2930,4
djhynek,26
DWP17,207
Dkadoche,14
Redgate145,7
HughCarrow,21
MacAttack6,41
Atorres600,18
Drdwarren,54
Jsaiz2019,19
Wyldgun,270
A-333,26
Jlarke,165
Dhara49,20
tgoonan,29
knitting_while_I_wait,284
lvdvt,32
Dkirby28,34
SheriWonder,22
LauraGingery,59
ThorDenmark,3
niawsks,89
nolteko,7
AstroCreep07,6
ChaasKandregula,6
Xyne,451
footballhead4,6
atbarajas,30
Jthell,16
S.A.L.A.D,41
Kraptar,23
chinatownjohn,10
Petekop,11
Kkatt786,75
HarperZhou,49
Tharsis42,19
schmaxol,21
roberthorr,4
rmurphy1994,6
FredSauna,1
Runzonbattereez,3
thenatechambers,83
Garry_W,20
Asher111,13
RuuN,1
qbob,7
nunobernardi,6
TheScienceGuy123,80
Username713,1826
MikeTrup,85
ArvishPandey,3
WAdventures5,50
MattUpson,1
Venus_over_Mars,160
melmair,11
mapayn,19
GattoBambierri,92
Astronava,36
burstchaser314,47
Vincetheprince,28
WatermelonTortoise,99
whitetiger893,48
mlpmikelp,7
emmpup,162
whitney_hope_86,23
Jackson_G14,22
Banikas,17
dstrick,11
Ndlund,65
nfedchuk4503,2
MLwhe0293,7
QuirozM,18
Gleonhardt,2
haify92,13
Xenosol,100
Laurenavaye17,26
Eac1001,24
radicalswineman,30
joybis,158
Zuralok,43
UraniumBullet,10
wcnester,24
Stikker,19
Luis.TV,41
Akathop77,530
Samia_Khan,63
dhubbard,335
Greatoz2,4
Tdrer3,1
t.rahman,3
rajibranjandhar,27
Acatalepsist,18
warnerpm,22
Macint0sh,113
Lellyfication,2
Gianfranco_Pandini,3
Bleu_Slothe,185
Galvatrosz,23
Jearlm47,67
KarayanK,11
Alexgiron,2
sll266,24
SmokeyCat,46
RevMark,14
Jaimeeric,13
krosenthal,9
Dim1mits,144
amymarshall,107
Meg2024,60
danno46,5
Logman09,166
DingoVuga,62
SternGucker75,22
starlord1970,27
Ahmed_Hashim,65
DrKen,71
Tkikani,7
NeilG123,10
Juliekalila,69
Korben,41
scootwhoma,2131
elmanion1976,3
Nolomos,10
KonstantinosK,48
Brendan_Ike,23
dcnora,13
maaust1,15
SOHAMSAMUI,3
axenias,116
trocker,32
DickC,19
Vitrexon,24
CurtSpencer,48
kmb,50
Hugs,22
cpalazzi,11
BoltzmannBrainiac,502
szmytke,71
Jeryl,1
nashalbu,104
Korbee,3
MOHAMMAD-DANIEL,68
RichardWambach,86
EWilkoff,24
Kfocazio,10
lappets,2
Janderson327,21
Salaxi,20
12774,8
zxdr,8
velthove,180
memlock,5
vezirgiannis,1
Jess_17,38
Edikan16,50
ReeceAR,6
christiano77,4
Gherkin,44
AdamKal,66
kirvam,47
JoMRr,4
Caprarom,25
RHaiderAli,4
stlouis97,2
GeorgeLuker,109
Carolin16,27
Claudio_Pulcher,6
DiabloYeti,30
SlickString,216
Beena,27
spencer.m.davis1,62
Saiguru,46
amilani5,50
Menna127,32
oldman52,114
Mchatz90,32
ManuelP0116,4
arnavchopra7,29
LoganCoulter04,79
tonykyr,480
