Burst_Name,Burst_PNG,Workflow,BurstID,Simple,Extended,Other,Too_Noisy,Verify,Symmetrical,FastRiseSlowDecay,UnderlyingEmission,RapidlyVarying,Primary_Z_Score,Primary_P_Value,Primary_Confidence_Level,Secondary_Z_Score,Secondary_P_Value,Secondary_Confidence_Level,Cluster,Color
GRB050223,GRB050223_106709.png,25637,95372786,7,9,17,4,Other,12,4,17,0,2.7876315193853403,0.0685537577028039,0.931446242297196,-0.0899235973995271,0.1554004904651404,0.8445995095348595,5,purple
GRB050306,GRB050306_107547.png,25637,95372789,1,4,16,5,Other,4,5,18,0,2.897472836319489,0.0626308334735554,0.9373691665264444,-0.457495710997814,0.1920407857766384,0.8079592142233616,3,orange
GRB050315,GRB050315_111063.png,25637,95372791,8,9,14,4,Other,9,13,22,0,2.5528888301902897,0.0837315630807145,0.9162684369192856,0.1215661347709661,0.1040541785138373,0.8959458214861626,8,cyan
GRB050318,GRB050318_111529.png,25637,95372793,1,2,14,0,Other,7,5,7,0,2.976607830191489,0.058756302584878,0.941243697415122,-0.6869094992749589,0.2852217877242293,0.7147782122757707,3,orange
GRB050319,GRB050319_111622.png,25637,95372795,1,4,16,2,Other,3,9,13,0,2.951244578069648,0.0599645667971548,0.9400354332028452,-0.5038710255240862,0.2648675767147155,0.7351324232852845,3,orange
GRB050326,GRB050326_112453.png,25637,95372796,1,3,18,0,Other,8,11,13,0,2.966954145484633,0.0592125587881884,0.9407874412118116,-0.5933908290969266,0.282830275300947,0.7171697246990529,3,orange
GRB050401,GRB050401_113120.png,25637,95372797,0,1,13,1,Other,9,7,9,0,2.99127270878144,0.058071608575696,0.941928391424304,-0.8892972917998876,0.3120363567395925,0.6879636432604075,3,orange
GRB050406,GRB050406_113872.png,25637,95372798,16,2,4,0,Simple,16,1,5,0,2.92155504328906,0.0614187510118826,0.9385812489881172,-0.4173650061841514,0.2234265316037083,0.7765734683962917,7,pink
GRB050410,GRB050410_114299.png,25637,95372799,9,9,11,1,Other,6,13,13,0,1.5784566588059403,0.0609307430705798,0.93906925692942,0.676481425202546,0.2125729631523196,0.7874270368476803,8,cyan
GRB050412,GRB050412_114485.png,25637,95372801,5,7,11,3,Other,9,2,11,0,2.63493019696104,0.077994326430226,0.922005673569774,0.2927700218845599,0.1328418405597757,0.8671581594402242,5,purple
GRB050416A,GRB050416A_114753.png,25637,95372803,25,8,0,4,Simple,13,18,2,0,2.8646229739545723,0.0643328298291112,0.9356671701708889,-0.2273510296789343,0.1910818369267162,0.8089181630732838,7,pink
GRB050416B,GRB050416B_114797.png,25637,95372805,20,1,0,1,Simple,10,8,1,0,2.9964391678845645,0.0578327764371919,0.942167223562808,-0.9299293969296925,0.3382875807300811,0.6617124192699189,1,blue
GRB050418,GRB050418_114893.png,25637,95372807,1,11,15,1,Other,14,6,24,0,2.2478059477960657,0.110161675642185,0.889838324357815,1.1239029738980328,0.190410408999869,0.809589591000131,5,purple
GRB050421,GRB050421_115135.png,25637,95372808,19,4,5,11,Simple,9,12,1,0,2.681910603163819,0.0749271240613342,0.9250728759386656,0.3624203517788945,0.1940788278475806,0.8059211721524193,7,pink
GRB050422,GRB050422_115214.png,25637,95372809,4,2,15,2,Other,12,0,8,0,2.96554085255622,0.0592797266448659,0.940720273355134,-0.561048269402528,0.3155091669218353,0.6844908330781647,3,orange
GRB050502B,GRB050502B_116116.png,25637,95372810,2,0,13,0,Other,14,4,4,0,2.96554085255622,0.0592797266448659,0.940720273355134,-0.561048269402528,0.3155091669218353,0.6844908330781647,3,orange
GRB050505,GRB050505_117504.png,25637,95372811,1,4,12,2,Other,7,6,12,0,2.904845450329673,0.0622566094662884,0.9377433905337116,-0.30050125348238,0.2299831357934807,0.7700168642065193,5,purple
