Burst_Name,BurstID,Burst_PNG,Simple,Extended,Other,Too_Noisy,Symmetrical,FastRiseSlowDecay,UnderlyingEmission,RapidlyVarying,Verify,Simple_Zscore,Simple_Pvalue,Simple_Confidence,Extended_Zscore,Extended_Pvalue,Extended_Confidence,Other_Zscore,Other_Pvalue,Other_Confidence,Too_Noisy_Zscore,Too_Noisy_Pvalue,Too_Noisy_Confidence,Final_Confidence
GRB041217,95372762,GRB041217_100116.png,15,3,1,0,13,5,2,0,Simple,1.5207697247616212,0.12831763441666943,0.8716823655833306,-0.31604317845261476,0.7519697347923124,0.24803026520768756,-1.0745762742274334,0.2825644788891819,0.7174355211108181,-0.7532402887289411,0.45130553312602073,0.5486944668739793,0.8716823655833306
GRB041219C,95372765,GRB041219C_100380.png,16,5,2,2,9,12,1,0,,1.0243041597767106,0.30569163377619857,0.6943083662238014,-0.0681937981294073,0.9456313638562854,0.054368636143714566,-0.9654966925391413,0.33429609180839326,0.6657039081916067,-0.3054222191493611,0.7600446013010438,0.2399553986989562,0.6943083662238014
GRB041220,95372767,GRB041220_100433.png,13,1,2,0,11,5,0,0,Simple,1.5972498954239092,0.11021001463266855,0.8897899853673314,-0.8775769307473813,0.3801733530618985,0.6198266469381015,-0.7861446880324305,0.43178272629265546,0.5682172737073445,-0.7532402887289411,0.45130553312602073,0.5486944668739793,0.8897899853673314
GRB041223,95372768,GRB041223_100585.png,2,10,15,1,6,9,23,0,Extended/Other,-0.8641629440542212,0.38749838531341574,0.6125016146865843,0.8568154962911343,0.39154686014054296,0.608453139859457,0.8507982102431051,0.39488145603926794,0.6051185439607321,-0.5533215076666286,0.5800432761300658,0.4199567238699342,0.6067858419100945
GRB041224,95372769,GRB041224_100703.png,2,5,16,0,13,9,14,0,Other,-0.8125880286120392,0.4164542975172809,0.5835457024827191,0.03417877200409128,0.9727345941361203,0.02726540586387971,1.4882466734657143,0.13668585258430022,0.8633141474156998,-0.7532402887289411,0.45130553312602073,0.5486944668739793,0.8633141474156998
GRB041226,95372770,GRB041226_100815.png,14,5,8,1,15,2,9,0,,0.5593047221499988,0.5759537731617743,0.4240462268382257,-0.19433142918675392,0.8459163777640608,0.1540836222359392,-0.1456018147941775,0.8842357352560994,0.11576426474390056,-0.5533215076666286,0.5800432761300658,0.4199567238699342,0.4240462268382257
GRB041228,95372771,GRB041228_100970.png,3,12,15,1,5,12,13,0,,-0.7799793723969822,0.4354030168837837,0.5645969831162163,1.0331369160487154,0.3015398296097014,0.6984601703902986,0.6441714769404429,0.5194642446852717,0.48053575531472825,-0.5726684864791105,0.5668691787121625,0.43313082128783753,0.6984601703902986
GRB050117,95372774,GRB050117_102861.png,0,3,12,0,8,3,12,0,Other,-1.1014075550882578,0.27071931874187927,0.7292806812581207,-0.0681937981294073,0.9456313638562854,0.054368636143714566,1.9041353795682325,0.05689255502507273,0.9431074449749273,-0.7532402887289411,0.45130553312602073,0.5486944668739793,0.9431074449749273
GRB050124,95372775,GRB050124_103647.png,18,6,2,0,10,11,4,0,Simple,1.1980402133954822,0.2309013621032885,0.7690986378967115,0.11292690287601345,0.9100885073429457,0.08991149265705434,-0.9777600774626771,0.3281930004379663,0.6718069995620337,-0.7532402887289411,0.45130553312602073,0.5486944668739793,0.7690986378967115
GRB050126,95372777,GRB050126_103780.png,10,15,8,1,5,18,13,0,Extended,-0.12451798024222441,0.9009051649934532,0.09909483500654681,1.351472872986611,0.17654400389678493,0.8234559961032151,-0.3465564416924529,0.7289245745627249,0.27107542543727514,-0.5886012925599778,0.5561287666247607,0.44387123337523926,0.8234559961032151
GRB050128,95372780,GRB050128_103906.png,3,8,15,2,5,4,19,0,,-0.7455406385372028,0.4559449534538147,0.5440550465461853,0.4363567260999789,0.6625779307200894,0.3374220692799106,0.8507982102431051,0.39488145603926794,0.6051185439607321,-0.3534027266043161,0.7237865420043808,0.27621345799561925,0.6051185439607321
GRB050202,95372781,GRB050202_104298.png,20,0,13,4,19,4,0,0,,0.6939570689531008,0.4877091324554943,0.5122908675445057,-1.2454783546646422,0.21295596714697496,0.787044032853025,0.11600128058240647,0.9076515268905967,0.0923484731094033,-0.14808073524302215,0.8822790528692044,0.11772094713079562,0.3023196703269545
GRB050215A,95372782,GRB050215A_106106.png,4,13,10,11,10,1,11,0,,-0.7517839177749406,0.452181014913126,0.547818985086874,0.7682978604614175,0.44231024547992503,0.557689754520075,-0.23550256893287969,0.8138186851989289,0.18618131480107114,0.8671540419866445,0.3858576134785583,0.6141423865214417,0.6141423865214417
GRB050215B,95372783,GRB050215B_106107.png,11,7,2,0,8,7,7,0,,0.7253759498738247,0.4682214232634334,0.5317785767365666,0.8147696192720186,0.4152041941554683,0.5847958058445317,-0.8857846905361587,0.3757335611041439,0.6242664388958561,-0.7532402887289411,0.45130553312602073,0.5486944668739793,0.5582871912905492
GRB050219A,95372784,GRB050219A_106415.png,17,3,8,1,18,3,11,0,,0.8456344251221118,0.397756714978589,0.602243285021411,-0.6365380668015896,0.5244257777658903,0.4755742222341097,-0.18486881085476,0.8533319346240342,0.14666806537596577,-0.5602152587377428,0.5753326203764586,0.4246673796235414,0.602243285021411
GRB050219B,95372785,GRB050219B_106442.png,19,4,8,1,20,2,9,0,,0.870688274132172,0.3839243826818235,0.6160756173181765,-0.5096755068301204,0.6102788152471974,0.3897211847528026,-0.2879446755137892,0.7733890883194916,0.2266109116805084,-0.5783113552994177,0.5630539293440799,0.43694607065592006,0.6160756173181765
GRB050223,95372786,GRB050223_106709.png,7,9,17,4,12,4,17,0,,-0.47302993667378224,0.6361918212860502,0.36380817871394977,0.18635421409442726,0.8521669952816211,0.1478330047183789,0.5468769670850152,0.5844632607037756,0.41553673929622437,-0.14808073524302215,0.8822790528692044,0.11772094713079562,0.28168487200730163
GRB050306,95372789,GRB050306_107547.png,1,4,16,5,4,5,18,0,Other,-0.9736604568391611,0.33022515743614744,0.6697748425638526,-0.33987484963753845,0.7339507774574627,0.26604922254253727,1.1683322841560855,0.24267275775061026,0.7573272422493897,0.32324545545274164,0.7465093585939317,0.25349064140606825,0.7573272422493897
GRB050315,95372791,GRB050315_111063.png,8,9,14,4,9,13,22,0,,-0.34222479977934045,0.7321817232384511,0.2678182767615489,0.26817321802351674,0.7885659891032948,0.21143401089670522,0.3098953395085804,0.7566405470012365,0.2433594529987635,-0.11350018932954113,0.9096340129889815,0.0903659870110185,0.22739673194773435
GRB050318,95372793,GRB050318_111529.png,1,2,14,0,7,5,7,0,Other,-0.9060296401190511,0.36492016428420704,0.635079835715793,-0.5529580272909747,0.5802921514755759,0.4197078485244241,1.9979142054540944,0.04572596229302195,0.954274037706978,-0.7532402887289411,0.45130553312602073,0.5486944668739793,0.954274037706978
GRB050319,95372795,GRB050319_111622.png,1,4,16,2,3,9,13,0,Other,-0.9569977918501485,0.33856836954467484,0.6614316304553252,-0.2217526533296554,0.8245064389363328,0.1754935610636672,1.4882466734657143,0.13668585258430022,0.8633141474156998,-0.26648151744678894,0.789868391891752,0.21013160810824805,0.8633141474156998
GRB050326,95372796,GRB050326_112453.png,1,3,18,0,8,11,13,0,Other,-0.9504337117029616,0.3418919212460607,0.6581080787539393,-0.44278433884516394,0.6579217322646731,0.3420782677353269,1.9766008359345804,0.048086767598717106,0.9519132324012829,-0.7532402887289411,0.45130553312602073,0.5486944668739793,0.9519132324012829
GRB050401,95372797,GRB050401_113120.png,0,1,13,1,9,7,9,0,Other,-1.1014075550882578,0.27071931874187927,0.7292806812581207,-0.8530501691528971,0.3936314834269494,0.6063685165730506,2.169842052911508,0.030018813393280164,0.9699811866067198,-0.3800585640792911,0.7039019430649827,0.29609805693501734,0.9699811866067198
GRB050406,95372798,GRB050406_113872.png,16,2,4,0,16,1,5,0,Simple,1.3141739390764793,0.188787676451875,0.811212323548125,-0.71034901078499,0.4774877342306145,0.5225122657693855,-0.5596901368875935,0.5756908110523231,0.4243091889476769,-0.7532402887289411,0.45130553312602073,0.5486944668739793,0.811212323548125
GRB050410,95372799,GRB050410_114299.png,9,9,11,1,6,13,13,0,,-0.10498018874530382,0.916391528934315,0.08360847106568503,0.52044848013821,0.6027510276098005,0.3972489723901995,0.17704200283694252,0.8594753971663094,0.14052460283369062,-0.5666494264041161,0.5709523872175923,0.42904761278240766,0.26888678761194507
GRB050412,95372801,GRB050412_114485.png,5,7,11,3,9,2,11,0,,-0.4626720638427744,0.6435994454846705,0.3564005545153295,0.3393277791327892,0.7343628180201309,0.2656371819798691,0.4018707264350987,0.6877791676023943,0.3122208323976057,-0.10734884221993146,0.9145122378863673,0.08548776211363274,0.2889290071887374
GRB050416A,95372803,GRB050416A_114753.png,25,8,0,4,13,18,2,0,Simple,1.1427982249634403,0.2531223759633012,0.7468776240366988,0.027261706454530663,0.9782509993306849,0.021749000669315066,-1.2843447005510717,0.19902137277041776,0.8009786272295822,-0.14808073524302215,0.8822790528692044,0.11772094713079562,0.7468776240366988
GRB050416B,95372805,GRB050416B_114797.png,20,1,0,1,10,8,1,0,Simple,1.9180693126176631,0.05510222297272693,0.9448977770272731,-0.9779136827248162,0.32811701723941766,0.6718829827605823,-1.2843447005510717,0.19902137277041776,0.8009786272295822,-0.49879820374054334,0.6179215531311768,0.3820784468688232,0.9448977770272731
GRB050418,95372807,GRB050418_114893.png,1,11,15,1,14,6,24,0,Extended/Other,-0.9827852495712395,0.3257131430277336,0.6742868569722664,1.067044881386712,0.28595156956112033,0.7140484304388797,0.8507982102431051,0.39488145603926794,0.6051185439607321,-0.5533215076666286,0.5800432761300658,0.4199567238699342,0.6595834871998059
GRB050421,95372808,GRB050421_115135.png,19,4,5,11,9,12,1,0,,0.5167223560669666,0.6053499876407109,0.3946500123592891,-0.641742684646573,0.5210402694968526,0.47895973050314744,-0.7733703287370808,0.4393032447398997,0.5606967552601003,0.8256054694041934,0.40902793152756756,0.5909720684724324,0.49281104041586077
GRB050422,95372809,GRB050422_115214.png,4,2,15,2,12,0,8,0,Other,-0.5237685021358207,0.600439563624384,0.399560436375616,-0.7336155039971488,0.46318310903644644,0.5368168909635536,1.3149597125896653,0.18852344265749,0.81147655734251,-0.26648151744678894,0.789868391891752,0.21013160810824805,0.81147655734251
GRB050502B,95372810,GRB050502B_116116.png,2,0,13,0,14,4,4,0,Other,-0.6585509478247227,0.5101841706092043,0.4898158293907957,-1.2454783546646422,0.21295596714697496,0.787044032853025,2.169842052911508,0.030018813393280164,0.9699811866067198,-0.7532402887289411,0.45130553312602073,0.5486944668739793,0.9699811866067198
GRB050505,95372811,GRB050505_117504.png,1,4,12,2,7,6,12,0,Other,-0.9265957364315991,0.3541364694099314,0.6458635305900686,-0.006231453048605603,0.9950280519987951,0.004971948001204929,1.2328764153325893,0.21762187587686244,0.7823781241231376,-0.16400598665054641,0.8697264309637398,0.1302735690362602,0.7823781241231376
GRB050507,95372813,GRB050507_118248.png,4,9,14,9,14,5,12,0,,-0.7323603823686452,0.4639486331512024,0.5360513668487976,0.22612734100440132,0.821102380228101,0.178897619771899,0.2656108939513678,0.7905388947345946,0.2094611052654054,0.6461911787072464,0.5181555516769953,0.48184444832300466,0.29006772445343637
GRB050509A,95372815,GRB050509A_118707.png,10,6,12,2,10,11,11,0,,0.005733963070579929,0.9954249844635978,0.0045750155364021605,-0.0681937981294073,0.9456313638562854,0.054368636143714566,0.3098953395085804,0.7566405470012365,0.2433594529987635,-0.3800585640792911,0.7039019430649827,0.29609805693501734,0.12396723426758283
GRB050509B,95372816,GRB050509B_118749.png,0,0,3,12,0,0,0,0,Too_Noisy,-1.1014075550882578,0.27071931874187927,0.7292806812581207,-1.2454783546646422,0.21295596714697496,0.787044032853025,-0.4872246805212457,0.6260991169938106,0.3739008830061894,3.724940407066859,0.00019536136748232735,0.9998046386325177,0.9998046386325177
GRB050525A,95372819,GRB050525A_130088.png,3,9,19,1,16,9,15,0,Other,-0.7900240031060847,0.4295137504647881,0.5704862495352119,0.4100780529630318,0.6817486916697735,0.3182513083302265,1.0821053589124743,0.2792057148788425,0.7207942851211575,-0.5783113552994177,0.5630539293440799,0.43694607065592006,0.7207942851211575
GRB050528,95372821,GRB050528_130679.png,10,2,14,3,8,3,13,0,,0.04391125680019516,0.964975142328067,0.035024857671932974,-0.8395181627559405,0.4011786013689864,0.5988213986310136,0.6397381064174739,0.5223428770954328,0.4776571229045672,-0.17416519875534628,0.8617356348667524,0.13826436513324758,0.2563409902882501
GRB050603,95372822,GRB050603_131560.png,16,4,6,1,8,17,5,0,,0.8668440327496759,0.38602747220568645,0.6139725277943135,-0.3734157201940979,0.7088390612632365,0.2911609387367635,-0.39865578940682067,0.6901468479475181,0.3098531520524819,-0.5459171083680244,0.5851229176113433,0.4148770823886567,0.6139725277943135
GRB050607,95372823,GRB050607_132247.png,6,14,10,1,9,18,10,0,Extended,-0.4585511897057068,0.6465564946414366,0.3534435053585634,1.4129061278342752,0.15768332709853317,0.8423166729014668,0.0013327511099379232,0.9989366187807884,0.0010633812192115677,-0.5726684864791105,0.5668691787121625,0.43313082128783753,0.8423166729014668
GRB050701,95372824,GRB050701_143708.png,1,1,14,3,9,7,10,0,Other,-0.9265957364315991,0.3541364694099314,0.6458635305900686,-0.935666629260633,0.3494448573394757,0.6505551426605243,1.652413267979866,0.09845033260788649,0.9015496673921135,0.13061116438865095,0.8960829104854748,0.10391708951452516,0.9015496673921135
GRB050712,95372825,GRB050712_145581.png,3,3,14,15,5,3,13,0,Too_Noisy,-0.8167140218474137,0.4140918762886301,0.5859081237113699,-0.7409278304352558,0.4587372000158001,0.5412627999841999,0.3098953395085804,0.7566405470012365,0.2433594529987635,1.6457850840188086,0.0998080142947444,0.9001919857052556,0.9001919857052556
GRB050713A,95372826,GRB050713A_145675.png,12,8,7,2,13,11,8,0,,0.27297501917788564,0.7848724183714386,0.21512758162856138,0.37836241297016443,0.7051613864660498,0.29483861353395024,-0.32230329706679894,0.7472229356037929,0.25277706439620706,-0.36719022874654456,0.7134771273796845,0.2865228726203155,0.2549830975812558
GRB050713B,95372828,GRB050713B_145754.png,9,15,1,4,1,23,2,0,Extended,-0.07062062438865016,0.9436996955050487,0.05630030449495127,1.7992230846506205,0.07198339921054342,0.9280166007894566,-1.1469102143390328,0.25141873071603493,0.7485812692839651,0.01885983123585198,0.9849529238667163,0.01504707613328371,0.9280166007894566
GRB050714B,95372829,GRB050714B_145994.png,1,0,7,23,1,0,7,0,Too_Noisy,-0.9942648275244993,0.32009395444778077,0.6799060455522192,-1.2454783546646422,0.21295596714697496,0.787044032853025,-0.38437048438836496,0.7007038735000721,0.2992961264999279,3.3999111630171637,0.0006740774976869979,0.999325922502313,0.999325922502313
GRB050715,95372832,GRB050715_146129.png,2,3,14,3,11,4,10,0,Other,-0.7994598683176656,0.4240238079450225,0.5759761920549775,-0.44278433884516394,0.6579217322646731,0.3420782677353269,1.251946272271102,0.21058944221825104,0.789410557781749,0.010085966236252013,0.9919526996971175,0.008047300302882476,0.789410557781749
GRB050716,95372834,GRB050716_146227.png,3,12,17,2,8,11,19,0,,-0.8083406826344477,0.41889448888485825,0.5811055111151417,0.8320826274563605,0.4053623070371728,0.5946376929628272,0.7084553495234933,0.4786625307728891,0.5213374692271109,-0.4239622963910146,0.6715933104967844,0.3284066895032156,0.557987581094969
GRB050717,95372836,GRB050717_146372.png,9,14,1,2,1,20,3,0,Extended,0.048316329153612184,0.9614641409694638,0.038535859030536246,1.9241339129302208,0.05433780021348289,0.9456621997865171,-1.1310523890068744,0.25803304181330633,0.7419669581866937,-0.322645991056268,0.7469633590705507,0.25303664092944933,0.9456621997865171
GRB050721,95372837,GRB050721_146970.png,13,20,1,4,4,30,8,0,Extended,0.03486926618002312,0.9721839877386043,0.02781601226139574,1.8526388993754495,0.06393413303090756,0.9360658669690924,-1.1794604873892525,0.23821486153887683,0.7617851384611232,-0.16400598665054641,0.8697264309637398,0.1302735690362602,0.9360658669690924
GRB050724,95372838,GRB050724_147478.png,12,11,0,1,14,10,5,0,Extended,0.5593047221499988,0.5759537731617743,0.4240462268382257,1.452465420728604,0.1463722373094869,0.8536277626905131,-1.2843447005510717,0.19902137277041776,0.8009786272295822,-0.5200017108229099,0.6030623826765134,0.39693761732348665,0.8536277626905131
GRB050726,95372839,GRB050726_147788.png,5,6,10,9,7,4,10,0,,-0.5478367960088389,0.5838039704345148,0.4161960295654852,-0.0681937981294073,0.9456313638562854,0.054368636143714566,0.044188666165304875,0.9647540163197919,0.03524598368020815,0.9260774721944838,0.35440572043306817,0.6455942795669318,0.6455942795669318
GRB050730,95372841,GRB050730_148225.png,14,3,2,3,12,2,6,0,,1.012226252305887,0.3114298867920504,0.6885701132079496,-0.44278433884516394,0.6579217322646731,0.3420782677353269,-0.9220174187193326,0.35651948994258786,0.6434805100574121,0.010085966236252013,0.9919526996971175,0.008047300302882476,0.6885701132079496
