Burst Name,Workflow,BurstID,Simple,Extended,Other,Too Noisy,Verify,Follow
GRB050904,25637,95372863,0,1,4,7,,"[2, 0, 2, 0, 2, 9]"
GRB050908,25637,95372864,10,0,0,2,,"[9, 1, 0, 0, 0, 2]"
GRB050911,25637,95372865,3,3,10,1,,"[10, 7, 3, 0, 1, 2]"
GRB050915A,25637,95372866,1,5,1,2,,"[1, 2, 6, 0, 0, 2]"
GRB050915B,25637,95372868,1,8,5,0,,"[3, 11, 8, 0, 1, 1]"
GRB050916,25637,95372869,2,0,6,6,,"[2, 1, 7, 0, 0, 6]"
GRB050922B,25637,95372870,1,1,1,10,,"[2, 1, 2, 0, 0, 10]"
GRB050922C,25637,95372872,11,1,0,0,Simple,"[10, 0, 1, 0, 0, 0]"
GRB050925,25637,95372875,10,0,2,0,,"[10, 1, 0, 0, 1, 1]"
GRB051001,25637,95372876,1,2,4,5,,"[2, 2, 4, 0, 0, 5]"
GRB051006,25637,95372877,1,4,5,0,,"[4, 0, 6, 0, 0, 0]"
GRB051008,25637,95372878,3,4,9,0,,"[12, 3, 8, 0, 0, 0]"
GRB051016A,25637,95372880,1,7,3,1,,"[2, 5, 5, 0, 1, 2]"
GRB051016B,25637,95372881,6,1,1,1,,"[1, 2, 4, 0, 2, 3]"
GRB051021B,25637,95372882,0,6,0,0,,"[0, 6, 1, 0, 0, 0]"
GRB051105A,25637,95372884,5,0,2,1,,"[5, 0, 0, 0, 2, 3]"
GRB051109A,25637,95372885,5,4,5,1,,"[8, 5, 4, 0, 1, 2]"
GRB051109B,25637,95372887,9,3,3,0,,"[9, 3, 5, 0, 1, 1]"
GRB051111,25637,95372889,3,8,0,0,,"[2, 9, 2, 0, 0, 0]"
GRB051113,25637,95372890,1,4,8,1,,"[6, 4, 5, 0, 2, 3]"
GRB051117A,25637,95372891,3,8,2,3,,"[1, 8, 7, 0, 1, 5]"
GRB051117B,25637,95372893,1,3,4,6,,"[2, 1, 7, 0, 0, 6]"
GRB051210,25637,95372894,11,0,0,0,Simple,"[9, 2, 0, 0, 0, 0]"
GRB051213,25637,95372895,0,1,6,7,,"[4, 1, 3, 0, 1, 8]"
GRB051221A,25637,95372896,15,0,0,0,Simple,"[9, 5, 0, 0, 1, 1]"
GRB051221B,25637,95372898,0,2,3,6,,"[1, 2, 4, 0, 0, 6]"
GRB051227,25637,95372900,4,7,0,0,,"[3, 5, 1, 0, 0, 2]"
GRB060102,25637,95372902,3,1,2,0,,"[2, 4, 2, 0, 1, 1]"
GRB060105,25637,95372903,0,4,10,0,,"[8, 5, 6, 0, 1, 1]"
GRB060108,25637,95372904,7,6,1,0,,"[7, 5, 3, 0, 1, 1]"
GRB060109,25637,95372905,0,1,5,1,,"[2, 3, 4, 0, 0, 1]"
GRB060110,25637,95372907,8,6,1,1,,"[0, 15, 0, 0, 0, 1]"
GRB060111A,25637,95372908,9,2,0,0,,"[7, 3, 2, 0, 0, 0]"
GRB060111B,25637,95372910,0,4,6,0,,"[1, 9, 4, 0, 0, 0]"
GRB060115,25637,95372911,0,1,8,0,,"[7, 1, 1, 0, 0, 0]"
GRB060116,25637,95372914,3,3,3,4,,"[3, 1, 5, 0, 1, 5]"
GRB060117,25637,95372915,0,3,14,0,,"[10, 4, 5, 0, 1, 1]"
GRB060124,25637,95372916,0,1,7,0,,"[2, 2, 7, 0, 0, 0]"
GRB060202,25637,95372917,0,2,5,4,,"[4, 1, 4, 0, 0, 4]"
