Burst_Name,Burst_Image,BurstID,Simple,Extended,Other,Too Noisy,Verify,Follow
GRB050507,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050507_118248.png,95372813,5,10,17,11,,"[16, 6, 14, 0, 2, 14]"
GRB050509A,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050509A_118707.png,95372815,21,6,14,3,,"[20, 12, 14, 0, 2, 5]"
GRB050509B,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050509B_118749.png,95372816,0,0,3,12,Too Noisy,"[0, 0, 0, 0, 3, 15]"
GRB050525A,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050525A_130088.png,95372819,9,11,28,2,,"[26, 14, 21, 0, 1, 3]"
GRB050528,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050528_130679.png,95372821,16,3,16,3,,"[12, 4, 15, 0, 5, 9]"
GRB050603,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050603_131560.png,95372822,23,10,6,1,,"[13, 24, 6, 0, 2, 3]"
GRB050607,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050607_132247.png,95372823,10,18,17,1,,"[14, 24, 19, 0, 1, 3]"
GRB050701,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050701_143708.png,95372824,1,1,14,3,,"[9, 7, 10, 0, 2, 5]"
GRB050712,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050712_145581.png,95372825,5,5,19,22,,"[8, 3, 19, 0, 3, 26]"
GRB050713A,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050713A_145675.png,95372826,16,15,11,2,,"[20, 14, 17, 0, 1, 4]"
GRB050713B,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050713B_145754.png,95372828,12,26,1,7,,"[1, 34, 6, 0, 1, 9]"
GRB050714B,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050714B_145994.png,95372829,1,0,7,23,,"[1, 0, 7, 0, 1, 24]"
GRB050715,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050715_146129.png,95372832,2,3,14,3,,"[11, 4, 10, 0, 1, 4]"
GRB050716,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050716_146227.png,95372834,4,15,21,5,,"[13, 13, 27, 0, 1, 6]"
GRB050717,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050717_146372.png,95372836,15,28,2,3,,"[4, 37, 5, 0, 0, 3]"
GRB050721,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050721_146970.png,95372837,19,28,1,8,,"[4, 40, 10, 0, 1, 10]"
GRB050724,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050724_147478.png,95372838,18,19,2,2,,"[20, 13, 9, 0, 2, 5]"
GRB050726,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050726_147788.png,95372839,12,8,18,10,,"[10, 6, 18, 0, 5, 17]"
GRB050730,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050730_148225.png,95372841,14,3,2,3,,"[12, 2, 6, 0, 2, 6]"
GRB050801,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050801_148522.png,95372842,22,21,1,5,,"[6, 36, 4, 0, 0, 5]"
GRB050802,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050802_148646.png,95372843,9,26,15,3,,"[9, 32, 21, 0, 0, 3]"
GRB050803,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050803_148833.png,95372846,3,19,31,2,,"[22, 20, 35, 0, 2, 5]"
GRB050813,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050813_150139.png,95372847,12,0,1,1,Simple,"[12, 0, 0, 0, 1, 2]"
GRB050814,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050814_150314.png,95372849,4,14,9,18,,"[1, 19, 9, 0, 3, 21]"
GRB050815,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050815_150532.png,95372850,11,2,1,0,,"[10, 2, 0, 0, 2, 2]"
GRB050819,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050819_151131.png,95372851,10,2,13,17,,"[13, 0, 10, 0, 4, 23]"
GRB050820A,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050820A_151207.png,95372852,1,2,14,2,,"[12, 2, 6, 0, 0, 2]"
GRB050820B,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050820B_151334.png,95372855,3,3,13,1,,"[13, 3, 6, 0, 1, 2]"
GRB050822,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050822_151486.png,95372856,2,4,16,2,,"[6, 13, 14, 0, 0, 2]"
GRB050824,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050824_151905.png,95372857,11,2,13,20,,"[11, 0, 8, 0, 4, 26]"
GRB050826,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050826_152113.png,95372859,8,12,11,29,,"[4, 10, 15, 0, 2, 33]"
GRB050827,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050827_152325.png,95372861,21,6,16,2,,"[28, 4, 18, 0, 2, 4]"
GRB050904,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050904_153514.png,95372863,4,8,21,17,,"[15, 3, 15, 0, 8, 27]"
GRB050908,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050908_154112.png,95372864,14,0,1,2,Simple,"[13, 1, 1, 0, 0, 2]"
GRB050911,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050911_154630.png,95372865,3,4,17,1,,"[14, 12, 4, 0, 1, 2]"
GRB050915A,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050915A_155242.png,95372866,5,13,18,7,,"[6, 7, 26, 0, 1, 9]"
GRB050915B,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050915B_155284.png,95372868,7,22,10,4,,"[7, 26, 20, 0, 1, 5]"
GRB050916,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050916_155408.png,95372869,4,2,17,21,,"[8, 3, 14, 0, 1, 23]"
