Number,User,ID,Shape,Definer
1286,orionlee,90376935,Other,Nothing found
1287,orionlee,90376917,Simple Pulse,Nothing found
1288,orionlee,90376882,Simple Pulse,Fast.R Slow.D
1289,orionlee,90376946,Simple Pulse,Nothing found
1290,orionlee,90376951,Simple Pulse,Fast.R Slow.D
1291,orionlee,90376903,Simple Pulse,Fast.R Slow.D
1292,orionlee,90376926,Other,Nothing found
1293,orionlee,90376873,Other,Nothing found
1294,orionlee,90376897,Other,Nothing found
1295,orionlee,90376902,Simple Pulse,Fast.R Slow.D
1296,orionlee,90376912,Other,Nothing found
1297,orionlee,90376929,Other,Nothing found
1298,orionlee,90376880,Other,Nothing found
1299,orionlee,90376924,Simple Pulse,Fast.R Slow.D
1300,orionlee,90376866,Extended Emmissions,Fast.R Slow.D
1301,orionlee,90376962,Other,Nothing found
1302,orionlee,90376868,Extended Emmissions,Nothing found
1303,orionlee,90376877,Simple Pulse,Nothing found
1304,orionlee,90376906,Other,Nothing found
1305,Wildcat2001,90376917,Simple Pulse,Symmetrical Structure
1306,Wildcat2001,90376962,Other,Nothing found
1307,Wildcat2001,90376912,Other,Nothing found
1308,Wildcat2001,90376885,Extended Emmissions,Nothing found
1309,Wildcat2001,90376928,Simple Pulse,Nothing found
1310,Wildcat2001,90376963,Simple Pulse,Nothing found
1311,Wildcat2001,90376941,Simple Pulse,Nothing found
1312,Wildcat2001,90376922,Simple Pulse,Fast.R Slow.D
1313,Wildcat2001,90376875,Extended Emmissions,Fast.R Slow.D
1314,Wildcat2001,90376918,Simple Pulse,Fast.R Slow.D
1315,Wildcat2001,90376884,Other,Rapid Varying pulses
1316,Wildcat2001,90376927,Extended Emmissions,Fast.R Slow.D
1317,raptor197,90376869,Simple Pulse,Nothing found
1318,raptor197,90376924,Other,Nothing found
1319,raptor197,90376934,Simple Pulse,Fast.R Slow.D
1320,raptor197,90376898,Extended Emmissions,Fast.R Slow.D
1321,raptor197,90376920,Simple Pulse,Fast.R Slow.D
1322,raptor197,90376927,Simple Pulse,Fast.R Slow.D
1323,raptor197,90376880,Other,Underlying emission
1324,raptor197,90376940,Simple Pulse,Symmetrical Structure
1325,raptor197,90376928,Simple Pulse,Nothing found
1326,raptor197,90376953,Simple Pulse,Symmetrical Structure
1327,raptor197,90376944,Extended Emmissions,Underlying emission
1328,raptor197,90376871,Extended Emmissions,Underlying emission
1329,raptor197,90376870,Simple Pulse,Fast.R Slow.D
1330,raptor197,90376882,Simple Pulse,Fast.R Slow.D
1331,raptor197,90376892,Other,Nothing found
1332,raptor197,90376958,Simple Pulse,Symmetrical Structure
1333,raptor197,90376903,Extended Emmissions,Underlying emission
1334,raptor197,90376911,Extended Emmissions,Underlying emission
1335,raptor197,90376913,Extended Emmissions,Underlying emission
1336,raptor197,90376952,Extended Emmissions,Underlying emission
1337,raptor197,90376948,Other,Nothing found
1338,raptor197,90376876,Other,Nothing found
1339,raptor197,90376883,Extended Emmissions,Underlying emission
1340,raptor197,90376886,Extended Emmissions,Underlying emission
1341,raptor197,90376935,Extended Emmissions,Underlying emission
1342,raptor197,90376962,Other,Nothing found
1343,raptor197,90376909,Simple Pulse,Symmetrical Structure
1344,raptor197,90376899,Other,Nothing found
1345,raptor197,90376961,Other,Nothing found
1346,raptor197,90376896,Other,Nothing found
1347,rwbodge,90376865,Simple Pulse,Underlying emission
1348,rwbodge,90376940,Simple Pulse,Symmetrical Structure
1349,rwbodge,90376895,Extended Emmissions,Underlying emission
1350,rwbodge,90376910,Other,Fast.R Slow.D
1351,rwbodge,90376899,Other,Fast.R Slow.D
1352,rwbodge,90376931,Other,Underlying emission
1353,rwbodge,90376925,Other,Fast.R Slow.D
1354,rwbodge,90376874,Extended Emmissions,Underlying emission
1355,rwbodge,90376959,Extended Emmissions,Nothing found
1356,rwbodge,90376872,Extended Emmissions,Nothing found
1357,rwbodge,90376949,Other,Underlying emission
1358,rwbodge,90376938,Simple Pulse,Nothing found
1359,rwbodge,90376866,Other,Symmetrical Structure
1360,rwbodge,90376891,Simple Pulse,Nothing found
1361,rwbodge,90376868,Other,Underlying emission
1362,rwbodge,90376937,Simple Pulse,Nothing found
1363,rwbodge,90376911,Other,Underlying emission
1364,rwbodge,90376933,Other,Underlying emission
1365,rwbodge,90376935,Other,Underlying emission
1366,KAKUL,90376931,Simple Pulse,Fast.R Slow.D
1367,KAKUL,90376948,Simple Pulse,Rapid Varying pulses
1368,KAKUL,90376921,Simple Pulse,Rapid Varying pulses
1369,KAKUL,90376920,Simple Pulse,Fast.R Slow.D
1370,carol_tye,90376932,Extended Emmissions,Fast.R Slow.D
1371,KAKUL,90376908,Extended Emmissions,Underlying emission
1372,carol_tye,90376924,Extended Emmissions,Rapid Varying pulses
1373,carol_tye,90376943,Extended Emmissions,Symmetrical Structure
1374,carol_tye,90376903,Simple Pulse,Fast.R Slow.D
1375,carol_tye,90376869,Simple Pulse,Nothing found
1376,carol_tye,90376872,Extended Emmissions,Underlying emission
1377,carol_tye,90376874,Simple Pulse,Fast.R Slow.D
1378,KAKUL,90376906,Extended Emmissions,Underlying emission
1379,KAKUL,90376925,Simple Pulse,Nothing found
1380,KAKUL,90376910,Simple Pulse,Rapid Varying pulses
1381,KAKUL,90376963,Extended Emmissions,Rapid Varying pulses
1382,KAKUL,90376935,Extended Emmissions,Fast.R Slow.D
1383,KAKUL,90376892,Extended Emmissions,Rapid Varying pulses
1384,christinekluge,90376892,Simple Pulse,Rapid Varying pulses
1385,christinekluge,90376962,Simple Pulse,Rapid Varying pulses
1386,christinekluge,90376899,Simple Pulse,Rapid Varying pulses
1387,christinekluge,90376903,Simple Pulse,Underlying emission
1388,christinekluge,90376910,Extended Emmissions,Fast.R Slow.D
1389,christinekluge,90376959,Simple Pulse,Symmetrical Structure
1390,christinekluge,90376963,Simple Pulse,Symmetrical Structure
1391,005QuaKs,90376936,Simple Pulse,Symmetrical Structure
1392,005QuaKs,90376869,Simple Pulse,Fast.R Slow.D
1393,005QuaKs,90376875,Extended Emmissions,Nothing found
1394,005QuaKs,90376900,Extended Emmissions,Symmetrical Structure
1395,005QuaKs,90376948,Simple Pulse,Underlying emission
1396,005QuaKs,90376959,Simple Pulse,Fast.R Slow.D
1397,005QuaKs,90376939,Extended Emmissions,Underlying emission
1398,005QuaKs,90376932,Extended Emmissions,Underlying emission
1399,hermesp,90376888,Simple Pulse,Fast.R Slow.D
1400,m.clarage,90376948,Simple Pulse,Nothing found
1401,m.clarage,90376943,Extended Emmissions,Underlying emission
1402,m.clarage,90376909,Other,Symmetrical Structure
1403,m.clarage,90376955,Other,Fast.R Slow.D
1404,colin_hewitt,90376880,Simple Pulse,Nothing found
1405,Runzonbattereez,90376958,Simple Pulse,Fast.R Slow.D
1406,Runzonbattereez,90376942,Simple Pulse,Nothing found
1407,Runzonbattereez,90376961,Other,Nothing found
1408,Runzonbattereez,90376880,Simple Pulse,Rapid Varying pulses
1409,Runzonbattereez,90376945,Extended Emmissions,Nothing found
1410,Runzonbattereez,90376934,Simple Pulse,Symmetrical Structure
1411,Runzonbattereez,90376886,Other,Rapid Varying pulses
1412,Runzonbattereez,90376909,Simple Pulse,Symmetrical Structure
1413,Runzonbattereez,90376885,Extended Emmissions,Nothing found
1414,Runzonbattereez,90376901,Other,Nothing found
1415,Runzonbattereez,90376931,Simple Pulse,Symmetrical Structure
1416,Runzonbattereez,90376921,Simple Pulse,Nothing found
1417,Runzonbattereez,90376865,Simple Pulse,Nothing found
1418,Runzonbattereez,90376957,Simple Pulse,Underlying emission
1419,Runzonbattereez,90376940,Simple Pulse,Symmetrical Structure
1420,Runzonbattereez,90376867,Extended Emmissions,Underlying emission
1421,Runzonbattereez,90376939,Simple Pulse,Fast.R Slow.D
1422,Runzonbattereez,90376965,Extended Emmissions,Underlying emission
1423,Runzonbattereez,90376922,Simple Pulse,Nothing found
1424,Runzonbattereez,90376895,Simple Pulse,Symmetrical Structure
1425,Runzonbattereez,90376910,Simple Pulse,Rapid Varying pulses
1426,pensayd,90376901,Other,Rapid Varying pulses
1427,Bydand70,90376905,Extended Emmissions,Fast.R Slow.D
1428,Bydand70,90376900,Extended Emmissions,Symmetrical Structure
1429,Bydand70,90376917,Simple Pulse,Underlying emission
1430,Bydand70,90376880,Other,Symmetrical Structure
1431,Bydand70,90376896,Other,Symmetrical Structure
1432,Bydand70,90376960,Extended Emmissions,Fast.R Slow.D
1433,Bydand70,90376889,Simple Pulse,Nothing found
1434,Bydand70,90376950,Simple Pulse,Symmetrical Structure
1435,Bydand70,90376939,Extended Emmissions,Fast.R Slow.D
1436,Bydand70,90376927,Other,Fast.R Slow.D
